"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"hsa-miR-199a-3p|hsa-miR-199b-3p","CG48",197,"0.12 (0.11)",193,"0.18 (0.12)",0.884054298808908,0.62626958577921,0.747946613746444
"hsa-miR-199a-3p|hsa-miR-199b-3p","PB",99,"0.1 (0.13)",78,"0.03 (0.25)",0.919970347518166,0.68380751286901,0.865728396337186
"hsa-miR-199a-3p|hsa-miR-199b-3p","SP",123,"-0.05 (0.09)",126,"0.04 (0.1)",0.841082609984894,0.886438713062909,0.572549609143685
"hsa-miR-25-3p","CG32",192,"0 (0.03)",189,"0.03 (0.04)",0.5528681429944,0.644677112927173,0.277577551047086
"hsa-miR-25-3p","CG48",197,"-0.02 (0.03)",193,"-0.02 (0.03)",0.816521333282726,0.801782153394051,0.526513037715728
"hsa-miR-25-3p","PB",99,"-0.06 (0.05)",78,"-0.08 (0.07)",0.806429155065566,0.565641981795529,0.579442315299761
"hsa-miR-25-3p","SP",123,"-0.02 (0.04)",126,"0 (0.04)",0.95635046309987,0.879108641797544,0.885132850849603
"hsa-miR-30c-5p","CG32",192,"0.06 (0.11)",189,"0.02 (0.11)",0.91094031755859,0.667321114612972,0.804785788047349
"hsa-miR-30c-5p","CG48",197,"0.16 (0.09)",193,"0.03 (0.12)",0.154248104724363,0.0532864100534526,0.32116987601803
"hsa-miR-30c-5p","PB",99,"0.14 (0.17)",78,"-0.01 (0.26)",0.38942219399997,0.729316296799027,0.183058139505533
"hsa-miR-30c-5p","SP",123,"-0.06 (0.05)",126,"-0.06 (0.05)",0.762635220303799,0.677847528477772,0.462648386264638
"hsa-miR-29a-3p","CG32",192,"0.08 (0.06)",189,"-0.16 (0.09)",0.141210733041233,0.401046487177872,0.249118729364692
"hsa-miR-29a-3p","CG48",197,"0.06 (0.06)",193,"0.09 (0.06)",0.604052282923067,0.333133227524728,0.481035006611147
"hsa-miR-29a-3p","PB",99,"0.07 (0.1)",78,"0.08 (0.1)",0.858800515333235,0.722825688980473,0.588342492490219
"hsa-miR-29a-3p","SP",123,"-0.05 (0.07)",126,"-0.17 (0.12)",0.658884474866322,0.754914854846739,0.369092225877908
"hsa-miR-484","CG32",192,"0 (0.05)",189,"-0.02 (0.06)",0.779088095743847,0.536503703266505,0.997228355440962
"hsa-miR-484","CG48",197,"0 (0.05)",193,"0 (0.04)",0.963137012366085,0.816767298247558,0.987937633626043
"hsa-miR-484","PB",99,"0.08 (0.07)",78,"0.11 (0.08)",0.66607187767581,0.367820306854805,0.690868445753571
"hsa-miR-484","SP",123,"-0.05 (0.06)",126,"-0.07 (0.06)",0.52288009580946,0.66335985578974,0.259459296572119
"hsa-miR-342-3p","CG32",192,"-0.05 (0.12)",189,"-0.13 (0.16)",0.0579188277644259,0.392369224085971,0.0181697965458163
"hsa-miR-342-3p","CG48",197,"0.21 (0.11)",193,"0.08 (0.14)",0.331400720106747,0.13788212082569,0.517700632735865
"hsa-miR-342-3p","PB",99,"0.21 (0.3)",78,"0.46 (0.23)",0.463892019957369,0.257566769009865,0.323454236436384
"hsa-miR-342-3p","SP",123,"-0.08 (0.13)",126,"-0.21 (0.15)",0.695307551406693,0.653198523657443,0.691756901128267
"hsa-miR-27b-3p","CG32",192,"-0.07 (0.05)",189,"-0.15 (0.06)",0.0839951061981356,0.375029577682398,0.0267969394123029
"hsa-miR-27b-3p","CG48",197,"-0.02 (0.05)",193,"0.01 (0.05)",0.941470275650976,0.728913660046441,0.850507000792551
"hsa-miR-27b-3p","PB",99,"-0.03 (0.08)",78,"0.1 (0.1)",0.968542683756791,0.824838797030803,0.830757918982945
"hsa-miR-27b-3p","SP",123,"-0.06 (0.07)",126,"-0.09 (0.07)",0.576297294791598,0.499067158747071,0.300580865342031
"hsa-miR-27a-3p","CG32",192,"0.17 (0.04)",189,"0 (0.05)",0.00909970674848891,0.00707670065026158,0.969215089681441
"hsa-miR-27a-3p","CG48",197,"0.08 (0.05)",193,"0.2 (0.05)",0.0168528732440478,0.111380738443801,0.00439998654763211
"hsa-miR-27a-3p","PB",99,"0.05 (0.09)",78,"0.04 (0.09)",0.769707402170138,0.488253318072792,0.879262985915396
"hsa-miR-27a-3p","SP",123,"0.11 (0.06)",126,"0.01 (0.08)",0.403935842122279,0.198850586778246,0.317890857791258
"hsa-miR-181a-5p","CG32",192,"0.14 (0.08)",189,"0.1 (0.11)",0.0828480478518951,0.0610955792372314,0.88569873029994
"hsa-miR-181a-5p","CG48",197,"0.08 (0.05)",193,"0.16 (0.05)",0.0445526399576988,0.491402589701835,0.0151237452742004
"hsa-miR-181a-5p","PB",99,"0.08 (0.08)",78,"-0.08 (0.19)",0.52323911216999,0.274662851506331,0.805551302543471
"hsa-miR-181a-5p","SP",123,"-0.12 (0.13)",126,"0 (0.05)",0.878131469717359,0.701104211917117,0.924724418212241
"hsa-miR-93-5p","CG32",192,"-0.01 (0.05)",189,"-0.05 (0.05)",0.620423528700862,0.903192265394688,0.431679554095808
"hsa-miR-93-5p","CG48",197,"-0.04 (0.05)",193,"-0.05 (0.05)",0.296460525923817,0.27893095282629,0.131733299410358
"hsa-miR-93-5p","PB",99,"-0.11 (0.07)",78,"-0.09 (0.08)",0.399455551831325,0.270430569867269,0.221965985996364
"hsa-miR-93-5p","SP",123,"-0.09 (0.07)",126,"-0.17 (0.12)",0.455321046169346,0.226601663727,0.367576426865241
"hsa-miR-103a-3p","CG32",192,"0.1 (0.06)",189,"0.03 (0.07)",0.63135955997316,0.340106728418071,0.703762684758968
"hsa-miR-103a-3p","CG48",197,"0 (0.06)",193,"0.03 (0.07)",0.914584783268367,0.784171556315952,0.678569331533692
"hsa-miR-103a-3p","PB",99,"-0.05 (0.09)",78,"-0.04 (0.11)",0.973792487188732,0.84163792984079,0.843900192019103
"hsa-miR-103a-3p","SP",123,"-0.06 (0.07)",126,"-0.1 (0.13)",0.799403017918364,0.699496096731788,0.783101735852759
"hsa-miR-4433b-5p","CG32",192,"0.05 (0.16)",189,"0.25 (0.17)",0.72131304597187,0.486264757542962,0.985754994995765
"hsa-miR-4433b-5p","CG48",197,"-0.02 (0.12)",193,"0.04 (0.13)",0.851489367855781,0.583983865458963,0.692708205883845
"hsa-miR-4433b-5p","PB",99,"0.48 (0.24)",78,"0.7 (0.3)",0.474895289090545,0.261871116431548,0.336459123296318
"hsa-miR-4433b-5p","SP",123,"-0.19 (0.15)",126,"0.09 (0.14)",0.654643166207726,0.996460801336905,0.428921563801692
"hsa-miR-146b-5p","CG32",192,"-0.03 (0.18)",189,"-0.1 (0.16)",0.866166297907808,0.807428381106606,0.76618806629651
"hsa-miR-146b-5p","CG48",197,"0.07 (0.15)",193,"0.08 (0.15)",0.94555930353345,0.866928637652966,0.737959868676477
"hsa-miR-146b-5p","PB",99,"-0.01 (0.2)",78,"-0.2 (0.23)",0.69832847933298,0.916331114511108,0.49253056809209
"hsa-miR-146b-5p","SP",123,"-0.03 (0.1)",126,"0.03 (0.09)",0.939525285999101,0.818348177143736,0.728016975694366
"hsa-miR-126-3p","CG32",192,"0.2 (0.05)",189,"0.08 (0.06)",0.00973824956835437,0.00239897292056634,0.0941983848066592
"hsa-miR-126-3p","CG48",197,"0.26 (0.09)",193,"0.33 (0.09)",0.0015097798350383,0.0117847582675766,0.000504695795514725
"hsa-miR-126-3p","PB",99,"0.03 (0.09)",78,"0.07 (0.09)",0.831592232867519,0.589877840488849,0.988473444937161
"hsa-miR-126-3p","SP",123,"0.05 (0.07)",126,"-0.01 (0.07)",0.888951411771992,0.653435351057907,0.944800561701815
"hsa-miR-140-3p","CG32",192,"0.01 (0.04)",189,"0.03 (0.04)",0.892126346661658,0.682618860012174,0.987413946075426
"hsa-miR-140-3p","CG48",197,"-0.03 (0.04)",193,"-0.05 (0.08)",0.936987119891823,0.806323620851344,0.725924281048551
"hsa-miR-140-3p","PB",99,"-0.05 (0.07)",78,"0.04 (0.09)",0.904034717672435,0.744588997214259,0.90917480811933
"hsa-miR-140-3p","SP",123,"-0.01 (0.05)",126,"0.03 (0.05)",0.950034297590073,0.838390267386222,0.7518817105107
"hsa-let-7e-5p","CG32",192,"0.14 (0.16)",189,"0.1 (0.18)",0.582177730064761,0.306028308684174,0.508150283094026
"hsa-let-7e-5p","CG48",197,"0.11 (0.09)",193,"0.17 (0.11)",0.695674758128741,0.757686930951697,0.39875873745588
"hsa-let-7e-5p","PB",99,"0.33 (0.24)",78,"0.59 (0.25)",0.38000967663125,0.428902987842394,0.166415403032977
"hsa-let-7e-5p","SP",123,"-0.05 (0.15)",126,"-0.12 (0.21)",0.818199954560027,0.666531849620133,0.855899769731857
"hsa-miR-22-3p","CG32",192,"0.04 (0.03)",189,"0.02 (0.04)",0.618149941369402,0.327820947929858,0.591109629957015
"hsa-miR-22-3p","CG48",197,"0.02 (0.04)",193,"0.07 (0.04)",0.782945666984658,0.642982016878178,0.494414047215936
"hsa-miR-22-3p","PB",99,"0.04 (0.05)",78,"0.06 (0.07)",0.637062790234123,0.395934100797718,0.434277984882008
"hsa-miR-22-3p","SP",123,"0.1 (0.05)",126,"0.03 (0.05)",0.240274916462995,0.0912830498772773,0.382926487435348
"hsa-miR-128-3p","CG32",192,"0.16 (0.08)",189,"0.13 (0.1)",0.185445234073805,0.132410505904763,0.85561398764712
"hsa-miR-128-3p","CG48",197,"0.03 (0.08)",193,"0.02 (0.11)",0.398087040119156,0.17628043380088,0.577666331503073
"hsa-miR-128-3p","PB",99,"0.09 (0.08)",78,"0.13 (0.11)",0.81088125553443,0.55423818843765,0.605924063075998
"hsa-miR-128-3p","SP",123,"-0.06 (0.05)",126,"-0.13 (0.12)",0.712752024931601,0.419211337915656,0.783894729349879
"hsa-miR-15b-5p","CG32",192,"0.11 (0.03)",189,"0.09 (0.04)",0.0187545530954373,0.020940227468177,0.0110531414768884
"hsa-miR-15b-5p","CG48",197,"0.03 (0.03)",193,"0.11 (0.03)",0.075396988776698,0.314888102105676,0.0231552682337671
"hsa-miR-15b-5p","PB",99,"-0.09 (0.05)",78,"-0.08 (0.05)",0.428817365025073,0.324951830272128,0.222429198612727
"hsa-miR-15b-5p","SP",123,"0.07 (0.04)",126,"0.12 (0.04)",0.126931925454397,0.329016517560648,0.0422719996910917
"hsa-miR-16-2-3p","CG32",192,"-0.03 (0.04)",189,"-0.03 (0.04)",0.513568087633296,0.250002878862628,0.517542163653683
"hsa-miR-16-2-3p","CG48",197,"-0.07 (0.03)",193,"-0.05 (0.04)",0.376637541788493,0.21656795469719,0.241371841597568
"hsa-miR-16-2-3p","PB",99,"-0.04 (0.06)",78,"-0.09 (0.06)",0.731461332117643,0.471055451804927,0.527120259085192
"hsa-miR-16-2-3p","SP",123,"-0.05 (0.04)",126,"-0.02 (0.04)",0.512996454180778,0.260403358098206,0.425920602556509
"hsa-miR-148a-3p","CG32",192,"-0.06 (0.05)",189,"-0.05 (0.05)",0.150873685584253,0.0674702308918285,0.141049797641472
"hsa-miR-148a-3p","CG48",197,"-0.02 (0.05)",193,"-0.03 (0.05)",0.704460064347485,0.597100030653775,0.409803263180292
"hsa-miR-148a-3p","PB",99,"-0.11 (0.16)",78,"0.04 (0.08)",0.826242097869532,0.731672176471256,0.538173851468385
"hsa-miR-148a-3p","SP",123,"0.06 (0.06)",126,"-0.05 (0.05)",0.35708698586466,0.50009142470134,0.453439646956559
"hsa-miR-151a-5p|hsa-miR-151b","CG32",192,"0.18 (0.1)",189,"0.03 (0.07)",0.334311068758912,0.165369136732906,0.820139066313412
"hsa-miR-151a-5p|hsa-miR-151b","CG48",197,"0.03 (0.08)",193,"0.13 (0.09)",0.839180873755808,0.986820860187091,0.599488932383196
"hsa-miR-151a-5p|hsa-miR-151b","PB",99,"0.02 (0.09)",78,"-0.27 (0.26)",0.794570842664021,0.751040561158639,0.709582576156134
"hsa-miR-151a-5p|hsa-miR-151b","SP",123,"0.01 (0.07)",126,"0.05 (0.11)",0.960237318810668,0.932025401111544,0.848547885839053
