"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"hsa-miR-4433b-3p","CG32",192,"-0.44 (0.32)",189,"-0.35 (0.33)",0.660376334245562,0.774376786493164,0.372735778153286
"hsa-miR-4433b-3p","CG48",197,"0.34 (0.29)",193,"-0.31 (0.32)",0.373122977779776,0.95315510225086,0.2323969224493
"hsa-miR-4433b-3p","PB",99,"-0.25 (0.45)",78,"0.69 (0.5)",0.269474603601117,0.90075118251076,0.176372261777871
"hsa-miR-4433b-3p","SP",123,"-0.73 (0.39)",126,"-0.26 (0.39)",0.720181160466145,0.477050803602932,0.973919918837422
"hsa-miR-450b-5p","CG32",192,"-0.18 (0.22)",189,"-0.31 (0.21)",0.0496301656317506,0.605305116810951,0.0661715271001693
"hsa-miR-450b-5p","CG48",197,"0.32 (0.17)",193,"0.11 (0.17)",0.741918528118012,0.499736654245417,0.999874174930282
"hsa-miR-450b-5p","PB",99,"0.22 (0.35)",78,"-0.12 (0.42)",0.289108535789744,0.813781477886797,0.139331089129148
"hsa-miR-450b-5p","SP",123,"0.18 (0.22)",126,"0.23 (0.25)",0.10363616548792,0.0509063602285508,0.0849473738096406
"hsa-miR-223-5p","CG32",192,"-0.34 (0.18)",189,"-0.38 (0.2)",0.053410636512111,0.364561556697706,0.0163474507788338
"hsa-miR-223-5p","CG48",197,"0.11 (0.21)",193,"-0.13 (0.22)",0.850313723333127,0.830799193194479,0.572019051630687
"hsa-miR-223-5p","PB",99,"0.44 (0.36)",78,"0.26 (0.38)",0.703734879672396,0.46463743605178,0.477052468613113
"hsa-miR-223-5p","SP",123,"0.02 (0.27)",126,"0.09 (0.26)",0.77147138636202,0.47196504338534,0.74003357410782
"hsa-miR-30e-3p","CG32",192,"-0.06 (0.22)",189,"-0.27 (0.22)",0.0529788890946804,0.736052115205837,0.0537281052825445
"hsa-miR-30e-3p","CG48",197,"0.21 (0.18)",193,"0.12 (0.2)",0.69437145202552,0.574309233709667,0.77284577489966
"hsa-miR-30e-3p","PB",99,"0.37 (0.32)",78,"0.49 (0.41)",0.739688223409298,0.54419952651322,0.473499411506448
"hsa-miR-30e-3p","SP",123,"-0.35 (0.17)",126,"-0.13 (0.23)",0.501715615028923,0.240261091340245,0.561614145158331
"hsa-miR-29c-3p","CG32",192,"0.17 (0.15)",189,"0.07 (0.17)",0.22060256559003,0.0874218224523192,0.577225757525849
"hsa-miR-29c-3p","CG48",197,"0.19 (0.14)",193,"0.27 (0.15)",0.345010103956608,0.326242396555219,0.155454854823207
"hsa-miR-29c-3p","PB",99,"0.12 (0.17)",78,"0.15 (0.21)",0.613608980009052,0.389005330893715,0.401164438240498
"hsa-miR-29c-3p","SP",123,"-0.23 (0.16)",126,"-0.2 (0.17)",0.526022313542927,0.48231225841116,0.261462623415818
"hsa-miR-7-5p","CG32",192,"0.01 (0.11)",189,"-0.09 (0.16)",0.663851952251203,0.85526360255953,0.493768925697312
"hsa-miR-7-5p","CG48",197,"0.21 (0.15)",193,"0.17 (0.14)",0.751241454852673,0.474160752190648,0.57415024803718
"hsa-miR-7-5p","PB",99,"0.5 (0.34)",78,"0.1 (0.38)",0.857408840150233,0.825198821412154,0.734238774612708
"hsa-miR-7-5p","SP",123,"-0.19 (0.18)",126,"0.03 (0.19)",0.566187430635184,0.332858668853725,0.38074934888984
"hsa-miR-106b-3p","CG32",192,"0.15 (0.16)",189,"0.04 (0.18)",0.548388547419596,0.368385267286925,0.914932485408338
"hsa-miR-106b-3p","CG48",197,"0.16 (0.11)",193,"0.09 (0.13)",0.981308174987367,0.847370673909431,0.90714462548208
"hsa-miR-106b-3p","PB",99,"-0.17 (0.37)",78,"0.12 (0.32)",0.443779509997184,0.415604924185057,0.210686813857444
"hsa-miR-106b-3p","SP",123,"-0.27 (0.16)",126,"-0.2 (0.14)",0.300986999906282,0.827843528498666,0.225526346151772
"hsa-miR-1301-3p","CG32",192,"-0.04 (0.24)",189,"-0.56 (0.24)",0.0801045080451149,0.764346110349694,0.072548881649795
"hsa-miR-1301-3p","CG48",197,"0.18 (0.22)",193,"0.13 (0.22)",0.891628620043037,0.716508159492493,0.923460836179787
"hsa-miR-1301-3p","PB",99,"0.25 (0.36)",78,"-0.22 (0.38)",0.854567905572372,0.993229413529618,0.620466116454874
"hsa-miR-1301-3p","SP",123,"0.15 (0.28)",126,"0.06 (0.29)",0.735726288932312,0.875752313621612,0.458791117865598
"hsa-miR-92b-3p","CG32",192,"0.15 (0.1)",189,"0.24 (0.11)",0.0315972107010998,0.0236660045766914,0.0230108828227262
"hsa-miR-92b-3p","CG48",197,"0.13 (0.07)",193,"0.16 (0.08)",0.00344118513297795,0.131182073497831,0.000765802085429677
"hsa-miR-92b-3p","PB",99,"0.15 (0.11)",78,"0.04 (0.16)",0.144198353169282,0.118035678306658,0.0717242154992127
"hsa-miR-92b-3p","SP",123,"-0.02 (0.1)",126,"0.08 (0.1)",0.0661104134254073,0.103752983889668,0.0235926991583027
"hsa-miR-224-5p","CG32",192,"0.04 (0.25)",189,"-0.32 (0.26)",0.312126819439035,0.92020876670714,0.20082448722369
"hsa-miR-224-5p","CG48",197,"-0.25 (0.24)",193,"-0.09 (0.22)",0.2659390952048,0.133912930108907,0.199347081444754
"hsa-miR-224-5p","PB",99,"-0.16 (0.36)",78,"-0.13 (0.47)",0.898236764298426,0.727280680685052,0.663449344170129
"hsa-miR-224-5p","SP",123,"-0.24 (0.26)",126,"-0.17 (0.28)",0.59837650919083,0.311209009874716,0.585087042725645
"hsa-miR-942-5p","CG32",192,"0.12 (0.19)",189,"-0.06 (0.22)",0.867498826224327,0.996145731592526,0.640162667889718
"hsa-miR-942-5p","CG48",197,"0.04 (0.2)",193,"-0.07 (0.21)",0.106370297972793,0.0421724126782628,0.131565367450985
"hsa-miR-942-5p","PB",99,"0.2 (0.36)",78,"0.18 (0.39)",0.981975493187202,0.960303668565937,0.890754337263395
"hsa-miR-942-5p","SP",123,"-0.3 (0.25)",126,"-0.17 (0.27)",0.780350835277681,0.875522984502053,0.608461351005824
"hsa-let-7b-3p","CG32",192,"0.14 (0.2)",189,"-0.02 (0.2)",0.819228028257904,0.788490074947247,0.71318223125567
"hsa-let-7b-3p","CG48",197,"0.13 (0.18)",193,"0.29 (0.16)",0.0779823488355359,0.0422007195242065,0.0640988403937924
"hsa-let-7b-3p","PB",99,"0.51 (0.27)",78,"0.49 (0.33)",0.0975788666009051,0.0618459074276241,0.0648688063690029
"hsa-let-7b-3p","SP",123,"-0.04 (0.15)",126,"-0.28 (0.23)",0.935471360385514,0.816974595896796,0.899633479887295
"hsa-miR-1307-3p","CG32",192,"-0.23 (0.29)",189,"-0.63 (0.26)",0.2227832723145,0.977858446323944,0.134679029802626
"hsa-miR-1307-3p","CG48",197,"0.1 (0.27)",193,"-0.05 (0.26)",0.889306076978889,0.977634550110306,0.662972049877462
"hsa-miR-1307-3p","PB",99,"0.51 (0.35)",78,"0.67 (0.46)",0.67038830280582,0.489408686234431,0.406907887383139
"hsa-miR-1307-3p","SP",123,"-0.4 (0.3)",126,"-0.61 (0.34)",0.466621737961388,0.578754001419375,0.218511121404823
"hsa-miR-151a-5p","CG32",192,"-0.06 (0.22)",189,"0.11 (0.24)",0.961196798626167,0.931436062859329,0.782758538877737
"hsa-miR-151a-5p","CG48",197,"0.05 (0.21)",193,"-0.02 (0.22)",0.40212325574304,0.747337795490726,0.192966798927417
"hsa-miR-151a-5p","PB",99,"0.04 (0.34)",78,"0.38 (0.34)",0.974850577503403,0.824834464798701,0.884446491175181
"hsa-miR-151a-5p","SP",123,"-0.56 (0.24)",126,"-0.54 (0.26)",0.113975892388399,0.0371531372810929,0.289103487489179
"hsa-miR-320d","CG32",192,"0.03 (0.14)",189,"-0.14 (0.14)",0.379139837365251,0.467664511893926,0.495426952233559
"hsa-miR-320d","CG48",197,"0.26 (0.12)",193,"0.33 (0.14)",0.0740341110892559,0.20701359228349,0.0229126292917455
"hsa-miR-320d","PB",99,"-0.02 (0.23)",78,"-0.07 (0.29)",0.602935205610638,0.967283832704059,0.389219597586813
"hsa-miR-320d","SP",123,"-0.26 (0.16)",126,"-0.3 (0.18)",0.332735697581585,0.400276360922233,0.138929125058449
"hsa-miR-501-3p","CG32",192,"-0.01 (0.12)",189,"0.06 (0.13)",0.44647908855238,0.404560607477329,0.668338754261895
"hsa-miR-501-3p","CG48",197,"0.09 (0.11)",193,"0.01 (0.11)",0.46258083764774,0.412275726824866,0.224868451203464
"hsa-miR-501-3p","PB",99,"-0.05 (0.27)",78,"-0.18 (0.26)",0.886098925450551,0.778614413615889,0.827283810184013
"hsa-miR-501-3p","SP",123,"-0.05 (0.06)",126,"-0.18 (0.2)",0.814751102445908,0.722786339778716,0.522738237212407
"hsa-miR-505-3p","CG32",192,"0.04 (0.14)",189,"-0.19 (0.18)",0.172474866462807,0.168061207386089,0.0746833673471047
"hsa-miR-505-3p","CG48",197,"-0.09 (0.12)",193,"-0.13 (0.12)",0.23049645235226,0.12767348815389,0.153816422769197
"hsa-miR-505-3p","PB",99,"0.2 (0.28)",78,"0.1 (0.36)",0.983663281069216,0.860863735216021,0.899946245927433
"hsa-miR-505-3p","SP",123,"-0.05 (0.16)",126,"-0.22 (0.25)",0.901489493884132,0.652166459749893,0.862977249175278
"hsa-miR-338-5p","CG32",192,"0.28 (0.21)",189,"0.31 (0.25)",0.315064664259215,0.159123098258128,0.849686798327176
"hsa-miR-338-5p","CG48",197,"0.17 (0.22)",193,"0.16 (0.19)",0.95964197706653,0.831498544893144,0.785747637178237
"hsa-miR-338-5p","PB",99,"0.4 (0.39)",78,"0.28 (0.41)",0.789579321227504,0.493047375778334,0.710263059190165
"hsa-miR-338-5p","SP",123,"-0.17 (0.25)",126,"-0.05 (0.27)",0.939626157627574,0.857355451108353,0.724174269205606
"hsa-miR-339-3p","CG32",192,"0.03 (0.21)",189,"0.37 (0.24)",0.113847955479914,0.0407014278929176,0.512382760077306
"hsa-miR-339-3p","CG48",197,"0.22 (0.21)",193,"0.33 (0.2)",0.103657932090471,0.564379254131938,0.0383619604926225
"hsa-miR-339-3p","PB",99,"-0.07 (0.34)",78,"-0.6 (0.41)",0.215134840097513,0.849804316760768,0.105647612013798
"hsa-miR-339-3p","SP",123,"-0.57 (0.31)",126,"-0.29 (0.24)",0.417997099903187,0.225016224057734,0.868258375781603
"hsa-miR-320b","CG32",192,"-0.07 (0.06)",189,"-0.06 (0.08)",0.593917592874869,0.500298716912007,0.318148001660997
"hsa-miR-320b","CG48",197,"0.01 (0.06)",193,"0 (0.08)",0.959257150745295,0.884642120959648,0.773056140400979
"hsa-miR-320b","PB",99,"0.03 (0.12)",78,"0.25 (0.12)",0.146955849338775,0.918329806050564,0.0778624991395652
"hsa-miR-320b","SP",123,"-0.06 (0.08)",126,"-0.18 (0.12)",0.0935697317306885,0.315075064132131,0.0297242016789895
"hsa-miR-130b-5p","CG32",192,"0 (0.22)",189,"-0.32 (0.23)",0.308420616752661,0.58058684315905,0.328044474270863
"hsa-miR-130b-5p","CG48",197,"0.29 (0.18)",193,"0.12 (0.2)",0.869370843638621,0.849754380379379,0.600436008439304
"hsa-miR-130b-5p","PB",99,"0.44 (0.33)",78,"0.18 (0.36)",0.799831899404178,0.535523345920755,0.93698299754786
"hsa-miR-130b-5p","SP",123,"-0.44 (0.27)",126,"-0.16 (0.23)",0.495278644960138,0.248955017217928,0.728435819677415
"hsa-miR-320c","CG32",192,"-0.01 (0.07)",189,"-0.24 (0.13)",0.52423811181508,0.786187181054117,0.406418195244437
"hsa-miR-320c","CG48",197,"0.28 (0.1)",193,"0.18 (0.12)",0.379111395263661,0.219090618424467,0.241738550668228
"hsa-miR-320c","PB",99,"-0.08 (0.13)",78,"0.14 (0.17)",0.410482562159943,0.858085681701081,0.283376261932421
"hsa-miR-320c","SP",123,"-0.09 (0.11)",126,"-0.14 (0.14)",0.453940433689414,0.522102699775407,0.208822724502664
"hsa-miR-199a-5p","CG32",192,"0.12 (0.28)",189,"0.22 (0.27)",0.274498637380737,0.108286696697368,0.397917075998655
"hsa-miR-199a-5p","CG48",197,"-0.25 (0.22)",193,"-0.24 (0.27)",0.746982172106129,0.462493957009511,0.589646091534773
"hsa-miR-199a-5p","PB",99,"0.13 (0.31)",78,"0.13 (0.36)",0.748207882537437,0.596391290615298,0.822466355840643
"hsa-miR-199a-5p","SP",123,"-0.2 (0.32)",126,"-0.41 (0.3)",0.770890952100671,0.684490145917795,0.471794311639706
"hsa-miR-107","CG32",192,"0.02 (0.05)",189,"0.06 (0.05)",0.675762915180699,0.538727329195572,0.391827537395968
"hsa-miR-107","CG48",197,"0.07 (0.04)",193,"0.05 (0.05)",0.61628656520201,0.452534239582501,0.849699371406857
"hsa-miR-107","PB",99,"0.06 (0.08)",78,"-0.08 (0.1)",0.65345328449754,0.600972322325137,0.678888649242429
"hsa-miR-107","SP",123,"-0.1 (0.12)",126,"-0.11 (0.13)",0.636494924863572,0.932451703052272,0.39038117169553
"hsa-miR-144-5p","CG32",192,"0.12 (0.12)",189,"0.18 (0.13)",0.715500864958114,0.415922798888297,0.635218208787287
"hsa-miR-144-5p","CG48",197,"0.2 (0.11)",193,"0.02 (0.12)",0.428428051293895,0.203116288041137,0.390137541093918
"hsa-miR-144-5p","PB",99,"0.09 (0.26)",78,"0.08 (0.32)",0.885090160848296,0.724893058333407,0.635893058229152
"hsa-miR-144-5p","SP",123,"-0.03 (0.13)",126,"0.12 (0.15)",0.528041814658737,0.606912276260015,0.259266441001723
"hsa-miR-421","CG32",192,"-0.2 (0.2)",189,"-0.11 (0.21)",0.853146058805406,0.725046028418092,0.831951118871651
"hsa-miR-421","CG48",197,"0.17 (0.19)",193,"0.06 (0.22)",0.98097326724271,0.886716080468911,0.85171479403456
"hsa-miR-421","PB",99,"-0.09 (0.35)",78,"-0.1 (0.41)",0.912201117521099,0.755569918972632,0.683205858170007
"hsa-miR-421","SP",123,"-0.19 (0.21)",126,"-0.26 (0.27)",0.86307989010777,0.616894134118951,0.942133185581763
"hsa-miR-15a-5p","CG32",192,"0.09 (0.12)",189,"0.05 (0.13)",0.18175124668443,0.185844036238806,0.0766157213311457
"hsa-miR-15a-5p","CG48",197,"0.19 (0.12)",193,"0.23 (0.12)",0.944193759640896,0.818803348907846,0.74165936146682
"hsa-miR-15a-5p","PB",99,"-0.06 (0.14)",78,"-0.28 (0.19)",0.920786538447488,0.810187350088936,0.863874076977379
"hsa-miR-15a-5p","SP",123,"-0.03 (0.13)",126,"0 (0.06)",0.589900242119858,0.351763583740078,0.921821114143705
"hsa-miR-625-3p","CG32",192,"-0.02 (0.21)",189,"0.03 (0.2)",0.180670654722038,0.296013764190002,0.411792267528265
"hsa-miR-625-3p","CG48",197,"0.19 (0.18)",193,"-0.1 (0.22)",0.995353069689353,0.92996559154403,0.993671332408826
"hsa-miR-625-3p","PB",99,"0.02 (0.37)",78,"0.18 (0.39)",0.899061055856508,0.645248798789604,0.805457606571629
"hsa-miR-625-3p","SP",123,"-0.5 (0.25)",126,"-0.14 (0.21)",0.441870988417502,0.38674981636542,0.710376926025786
"hsa-miR-215-5p","CG32",192,"0.48 (0.21)",189,"0.43 (0.18)",0.00591015895558139,0.00255732858531648,0.0157255658167073
"hsa-miR-215-5p","CG48",197,"0.5 (0.15)",193,"0.57 (0.14)",3.64735461723731e-05,0.000174840311689355,5.61316760714692e-05
"hsa-miR-215-5p","PB",99,"0.72 (0.3)",78,"0.32 (0.37)",0.0606699127382927,0.0182555631035833,0.194834085310187
"hsa-miR-215-5p","SP",123,"0.02 (0.21)",126,"0.25 (0.2)",0.499315303252637,0.27756273161542,0.344282723720104
"hsa-let-7a-3p","CG32",192,"-0.04 (0.17)",189,"0.02 (0.19)",0.999954414634414,0.999377907348559,0.99368017963216
"hsa-let-7a-3p","CG48",197,"0.33 (0.15)",193,"0.22 (0.18)",0.129142833666094,0.0431558477130786,0.297594029964146
"hsa-let-7a-3p","PB",99,"0.35 (0.34)",78,"0.67 (0.33)",0.465595485051284,0.302109889553924,0.920505261112706
"hsa-let-7a-3p","SP",123,"0.11 (0.15)",126,"-0.2 (0.23)",0.522293560726256,0.265068772710938,0.719104079116288
"hsa-miR-324-3p","CG32",192,"-0.08 (0.22)",189,"0.11 (0.23)",0.864214235642944,0.868377345086637,0.596547718446081
"hsa-miR-324-3p","CG48",197,"-0.1 (0.22)",193,"0.01 (0.23)",0.986085788389583,0.899738100582195,0.87481699157028
"hsa-miR-324-3p","PB",99,"-0.07 (0.38)",78,"0.06 (0.41)",0.709571806171883,0.534812215965163,0.435875251707433
"hsa-miR-324-3p","SP",123,"-0.18 (0.27)",126,"-0.16 (0.29)",0.396565462378777,0.209756120075599,0.276574049152278
"hsa-miR-32-5p","CG32",192,"0.17 (0.18)",189,"-0.02 (0.24)",0.77127174822416,0.541351120595017,0.971959669909702
"hsa-miR-32-5p","CG48",197,"0.28 (0.17)",193,"0.21 (0.2)",0.851992007335877,0.58334543237763,0.884706904472407
"hsa-miR-32-5p","PB",99,"-0.15 (0.39)",78,"-0.77 (0.4)",0.478120025506746,0.243181100702363,0.39139041843028
"hsa-miR-32-5p","SP",123,"-0.39 (0.27)",126,"0.17 (0.24)",0.639894606818763,0.771068331372559,0.530561247968939
"hsa-miR-330-3p","CG32",192,"0.14 (0.27)",189,"-0.15 (0.28)",0.502481462379314,0.604224111898488,0.508768071818702
"hsa-miR-330-3p","CG48",197,"-0.01 (0.27)",193,"-0.07 (0.27)",0.966151272776651,0.800480901018649,0.854773446311161
"hsa-miR-330-3p","PB",99,"1 (0.49)",78,"1.51 (0.42)",0.321614523872817,0.184411514583892,0.208188733430918
"hsa-miR-330-3p","SP",123,"0.52 (0.36)",126,"0.19 (0.35)",0.697158295567745,0.430363438544173,0.893751549067535
"hsa-miR-487b-3p","CG32",192,"0.06 (0.28)",189,"-0.44 (0.28)",0.337610634428301,0.38234768846852,0.544426753721238
"hsa-miR-487b-3p","CG48",197,"0.17 (0.27)",193,"-0.09 (0.27)",0.964251695211356,0.995833297025302,0.815827764990903
"hsa-miR-487b-3p","PB",99,"-0.07 (0.43)",78,"-0.18 (0.47)",0.72848929274975,0.642358749210738,0.429994811324308
"hsa-miR-487b-3p","SP",123,"-0.02 (0.29)",126,"-0.1 (0.31)",0.98060344475868,0.95242276654133,0.847286115913729
"hsa-miR-95-3p","CG32",192,"0.02 (0.23)",189,"-0.41 (0.23)",0.339652943702145,0.69155784756573,0.153251179981028
"hsa-miR-95-3p","CG48",197,"0.22 (0.21)",193,"0.1 (0.2)",0.497008874790262,0.354571669843167,0.274313764933202
"hsa-miR-95-3p","PB",99,"0.18 (0.41)",78,"0.01 (0.43)",0.640680483294991,0.399335837128773,0.437453203946114
"hsa-miR-95-3p","SP",123,"-0.28 (0.28)",126,"0.17 (0.27)",0.701239509817655,0.679474471893232,0.672281617637155
"hsa-miR-345-5p","CG32",192,"-0.3 (0.22)",189,"-0.12 (0.24)",0.864350913299302,0.893906397394657,0.69563152980837
"hsa-miR-345-5p","CG48",197,"0.47 (0.19)",193,"0.31 (0.23)",0.140600396067419,0.066040586768105,0.123751013976675
"hsa-miR-345-5p","PB",99,"0.17 (0.37)",78,"0.27 (0.4)",0.777407503685913,0.735287898515319,0.478030925799822
"hsa-miR-345-5p","SP",123,"-0.14 (0.3)",126,"-0.09 (0.31)",0.833589775875521,0.619429087929344,0.965539065823348
"hsa-miR-29b-3p","CG32",192,"-0.28 (0.21)",189,"-0.14 (0.22)",0.569270682098918,0.524009103267893,0.292812133515655
"hsa-miR-29b-3p","CG48",197,"0.12 (0.19)",193,"0.25 (0.19)",0.933763012248885,0.754782595170896,0.744700254167602
"hsa-miR-29b-3p","PB",99,"0.27 (0.4)",78,"0.36 (0.38)",0.95517684882003,0.814090807857158,0.779160158770653
"hsa-miR-29b-3p","SP",123,"-0.66 (0.27)",126,"-0.36 (0.29)",0.205049233128738,0.0752010799645572,0.344564007398103
"hsa-miR-19b-3p","CG32",192,"0.19 (0.19)",189,"0.19 (0.19)",0.928799684951657,0.730796720704826,0.985041138937681
"hsa-miR-19b-3p","CG48",197,"0.03 (0.18)",193,"0.11 (0.16)",0.765316384207407,0.960606022355766,0.539596904437343
"hsa-miR-19b-3p","PB",99,"0.2 (0.29)",78,"0.1 (0.35)",0.703917881362751,0.521955356204148,0.434160371724781
"hsa-miR-19b-3p","SP",123,"-0.11 (0.17)",126,"-0.09 (0.19)",0.878771573744133,0.653667645063107,0.664572686518669
"hsa-miR-598-3p","CG32",192,"-0.28 (0.26)",189,"-0.26 (0.3)",0.538279412013984,0.557102247939284,0.266947626466032
"hsa-miR-598-3p","CG48",197,"0.33 (0.24)",193,"0.19 (0.28)",0.51064753931094,0.340826480945229,0.29867179328166
"hsa-miR-598-3p","PB",99,"0.18 (0.41)",78,"0.45 (0.48)",0.88182929260209,0.881239222645187,0.728966953502745
"hsa-miR-598-3p","SP",123,"-0.03 (0.31)",126,"0.2 (0.35)",0.527571059591432,0.87393531800934,0.296505409032414
"hsa-miR-576-3p","CG32",192,"-0.37 (0.24)",189,"-0.35 (0.28)",0.219909349654743,0.289007037494333,0.0851729661880422
"hsa-miR-576-3p","CG48",197,"0.42 (0.22)",193,"0.42 (0.26)",0.465467341562749,0.262305504796986,0.316665829419113
"hsa-miR-576-3p","PB",99,"0.28 (0.37)",78,"0.19 (0.38)",0.245302226922073,0.109632319525564,0.738597519116834
"hsa-miR-576-3p","SP",123,"-0.02 (0.26)",126,"-0.45 (0.34)",0.261345412338849,0.867671542332145,0.136658080755866
"hsa-miR-150-3p","CG32",192,"-0.37 (0.24)",189,"-0.38 (0.25)",0.0911492748726069,0.318097634338528,0.0288413668209113
"hsa-miR-150-3p","CG48",197,"0.09 (0.22)",193,"0.17 (0.24)",0.619989948527509,0.427997998722473,0.37607714796791
"hsa-miR-150-3p","PB",99,"0.01 (0.41)",78,"0 (0.43)",0.94066523753642,0.728033280367328,0.883768210843433
"hsa-miR-150-3p","SP",123,"-0.5 (0.32)",126,"-0.35 (0.29)",0.404353508943683,0.212002060507596,0.286595645124852
"hsa-miR-574-3p","CG32",192,"-0.08 (0.16)",189,"-0.03 (0.19)",0.393641477914681,0.263518502268879,0.218570804288228
"hsa-miR-574-3p","CG48",197,"0.13 (0.18)",193,"-0.02 (0.18)",0.925111706535151,0.930498083126488,0.704983906772576
"hsa-miR-574-3p","PB",99,"0.2 (0.31)",78,"0.13 (0.33)",0.520151990249879,0.27688851108471,0.404554426945596
"hsa-miR-574-3p","SP",123,"-0.25 (0.14)",126,"-0.27 (0.2)",0.805681529961825,0.550264765365298,0.589562851197638
"hsa-miR-425-3p","CG32",192,"0.31 (0.25)",189,"0.05 (0.24)",0.261435426877487,0.146514942209905,0.960794072151187
"hsa-miR-425-3p","CG48",197,"0.06 (0.18)",193,"-0.21 (0.22)",0.903057945763954,0.685871607898085,0.709702271499883
"hsa-miR-425-3p","PB",99,"0.41 (0.35)",78,"0.32 (0.36)",0.708690603573462,0.547066904951261,0.429407722674333
"hsa-miR-425-3p","SP",123,"0.09 (0.29)",126,"-0.04 (0.29)",0.615234593490994,0.422445726906903,0.931089759761254
"hsa-miR-20a-5p","CG32",192,"0.14 (0.14)",189,"-0.08 (0.18)",0.3973252576117,0.937492657539783,0.221840006479555
"hsa-miR-20a-5p","CG48",197,"-0.01 (0.11)",193,"-0.16 (0.14)",0.497725279054815,0.668908526399921,0.241973884717911
"hsa-miR-20a-5p","PB",99,"-0.3 (0.27)",78,"-0.13 (0.31)",0.670248413513049,0.373616930241515,0.72837864824331
"hsa-miR-20a-5p","SP",123,"-0.1 (0.2)",126,"-0.28 (0.24)",0.442514165229465,0.205330707561829,0.433779711663688
"hsa-miR-17-5p","CG32",192,"-0.15 (0.22)",189,"-0.37 (0.23)",0.324892663699041,0.542220628278363,0.369618680438759
"hsa-miR-17-5p","CG48",197,"0.24 (0.2)",193,"0.23 (0.19)",0.833115583036081,0.575484302790853,0.94086740127374
"hsa-miR-17-5p","PB",99,"0.15 (0.35)",78,"-0.38 (0.41)",0.555837427367576,0.749243198871091,0.288549716944023
"hsa-miR-17-5p","SP",123,"-0.63 (0.3)",126,"-0.44 (0.26)",0.0886595968866378,0.0336165088540207,0.115651964144959
"hsa-miR-424-3p","CG32",192,"-0.28 (0.17)",189,"-0.51 (0.21)",0.0442634257969878,0.94002043877148,0.0268314955261192
"hsa-miR-424-3p","CG48",197,"0.33 (0.16)",193,"0.07 (0.18)",0.537200358091612,0.273813027715206,0.728661588198481
"hsa-miR-424-3p","PB",99,"0.73 (0.36)",78,"0.61 (0.39)",0.359358123003906,0.270506472204295,0.183600475905607
"hsa-miR-424-3p","SP",123,"-0.4 (0.27)",126,"-0.11 (0.22)",0.400489431391742,0.211328416415629,0.850745437049109
"hsa-miR-4732-5p","CG32",192,"-0.1 (0.2)",189,"-0.09 (0.23)",0.449939736450644,0.266953743459525,0.987429197936862
"hsa-miR-4732-5p","CG48",197,"0.17 (0.15)",193,"-0.11 (0.17)",0.882086924761813,0.754976394474413,0.848995697056055
"hsa-miR-4732-5p","PB",99,"-0.17 (0.33)",78,"-0.05 (0.41)",0.927876485898666,0.988301840228297,0.729456185819377
"hsa-miR-4732-5p","SP",123,"-0.22 (0.15)",126,"-0.18 (0.22)",0.906140050187924,0.93841578917411,0.677427528605271
"hsa-miR-335-3p","CG32",192,"-0.43 (0.28)",189,"-0.05 (0.26)",0.814773478191075,0.59224647647711,0.570840565008898
"hsa-miR-335-3p","CG48",197,"-0.05 (0.24)",193,"-0.2 (0.26)",0.692559679322096,0.592771824191347,0.398022815609339
"hsa-miR-335-3p","PB",99,"-0.34 (0.37)",78,"0.88 (0.38)",0.353741379906579,0.53515893940633,0.400293639563337
"hsa-miR-335-3p","SP",123,"-0.65 (0.33)",126,"-0.47 (0.34)",0.488058591329004,0.273493986007395,0.888737826927365
"hsa-miR-4446-3p","CG32",192,"-0.48 (0.31)",189,"-0.5 (0.33)",0.49820438021872,0.586921634684971,0.24347910246006
"hsa-miR-4446-3p","CG48",197,"0.27 (0.27)",193,"-0.29 (0.3)",0.591940305886962,0.847966755828098,0.435107336804481
"hsa-miR-4446-3p","PB",99,"0.02 (0.44)",78,"0.48 (0.5)",0.830206663057334,0.757286959648756,0.757515201295815
"hsa-miR-4446-3p","SP",123,"-0.38 (0.4)",126,"-0.02 (0.39)",0.492650418382277,0.591255867221226,0.526321170145281
"hsa-miR-125b-5p","CG32",192,"0.01 (0.16)",189,"-0.09 (0.19)",0.85718690084414,0.592313794054138,0.893415975187339
"hsa-miR-125b-5p","CG48",197,"0.24 (0.14)",193,"0.14 (0.15)",0.239830606944085,0.142614652242451,0.147721385719679
"hsa-miR-125b-5p","PB",99,"-0.48 (0.33)",78,"0.1 (0.25)",0.520584198772364,0.637906009672156,0.254651528481932
"hsa-miR-125b-5p","SP",123,"-0.04 (0.12)",126,"-0.12 (0.2)",0.834916370389076,0.719536445244322,0.815853043142404
"hsa-miR-671-3p","CG32",192,"0.13 (0.3)",189,"-0.1 (0.31)",0.361002066236913,0.523032890274886,0.434606499322033
"hsa-miR-671-3p","CG48",197,"0.14 (0.28)",193,"0.4 (0.3)",0.241322876228844,0.465061612804213,0.0946639969502003
"hsa-miR-671-3p","PB",99,"-0.49 (0.39)",78,"0.25 (0.43)",0.281498497556957,0.162246812585884,0.973359345537783
"hsa-miR-671-3p","SP",123,"-0.32 (0.37)",126,"-0.17 (0.38)",0.784761326505276,0.92274238541165,0.59115288316877
