id,name,subgroup,n,mean,sd,se,ci,median,iqr,type
PLEC,PLEC,SIDD,242,18.1635861470659,1.36153460263427,0.0875227591220746,0.172407250800171,18.2152703165383,1.05165933791104,PRT
PLEC,PLEC,MARD,268,18.0608714371419,1.3789333333871,0.0842317595721447,0.16584295307048,18.1739172491076,1.05577225381593,PRT
PLEC,PLEC,MOD,139,18.1831856976646,1.26211457562116,0.10705116110296,0.211672640027054,18.3190408862121,0.991935492212839,PRT
PLEC,PLEC,SIRD,80,18.1987974546006,1.21914721318499,0.136304802163053,0.271307922120825,18.2734469790469,0.957805108982242,PRT
PLG,PLG,SIDD,242,21.908489326265,0.267245732358924,0.0171792063267419,0.0338405663102027,21.9048160149049,0.340338886115585,PRT
PLG,PLG,MARD,268,21.8812885162226,0.241026430579366,0.0147230325495323,0.0289880112747248,21.8781597159982,0.276259240389809,PRT
PLG,PLG,MOD,139,21.9276829412478,0.229589049003708,0.0194734889740698,0.0385049987240644,21.9390230620316,0.285042290770868,PRT
PLG,PLG,SIRD,80,21.8542995609267,0.282626394758268,0.0315985915457588,0.0628954231852316,21.8783463684293,0.311891510356574,PRT
PLGLA,PLGLA,SIDD,242,20.0136126886693,0.3314930015249,0.0213091772085582,0.0419760151095895,20.0231361800638,0.420858599946865,PRT
PLGLA,PLGLA,MARD,268,20.0427417087245,0.366445214386017,0.0223842041142834,0.0440720048031953,20.0037879829743,0.362375399130755,PRT
PLGLA,PLGLA,MOD,139,20.0917623574789,0.312030951377082,0.026466119867555,0.0523315525578447,20.0969556287529,0.375364839378342,PRT
PLGLA,PLGLA,SIRD,80,20.0808081855817,0.393650472909295,0.0440114608400061,0.0876026214815252,20.0212773100283,0.309180166356143,PRT
PLS3,PLS3,SIDD,201,15.6183219247061,2.70967866458579,0.191125996645117,0.376880631022773,15.6568432914509,3.91274132238276,PRT
PLS3,PLS3,MARD,222,15.1354343861774,2.83095877388452,0.190001512315387,0.374446671798032,15.3931346117247,3.99504957867835,PRT
PLS3,PLS3,MOD,122,15.578276066724,2.92319200829124,0.264653369296175,0.523951150157519,15.9596088724298,3.98114290821526,PRT
PLS3,PLS3,SIRD,62,15.7360608443632,2.77035497418496,0.351835433557099,0.703538430977695,16.0386205757284,4.00993520880541,PRT
PLTP,PLTP,SIDD,242,18.9044445063742,1.28455723487254,0.0825744665091467,0.162659825854851,18.5980543457176,1.03077215150271,PRT
PLTP,PLTP,MARD,268,18.7427800356615,1.00686564450677,0.0615041081654224,0.121094738800791,18.5425740026342,0.891587329537163,PRT
PLTP,PLTP,MOD,139,18.7008854971859,0.922096748423611,0.0782112254106804,0.154647333030861,18.5487749067792,0.793881558211805,PRT
PLTP,PLTP,SIRD,80,18.8791411477388,1.05601314796545,0.118065859199215,0.235004214264078,18.6865432028862,0.860684352818659,PRT
PLXNB2,PLXNB2,SIDD,235,14.9501196023159,1.05323989737974,0.0687057952720732,0.135360972824632,14.7394757148476,0.894712432446694,PRT
PLXNB2,PLXNB2,MARD,256,14.8341174927442,0.831489361545319,0.0519680850965824,0.102341299275558,14.7645824793165,0.61315072235732,PRT
PLXNB2,PLXNB2,MOD,139,14.8841619136448,1.03816017391701,0.0880555966751044,0.174112643201041,14.771704563616,0.789574286284996,PRT
PLXNB2,PLXNB2,SIRD,80,14.9003921469204,1.21393994276411,0.135722611631138,0.27014910085418,14.6825694012996,0.906713005398128,PRT
PNP,PNP,SIDD,197,16.0419120939221,1.50188230170605,0.107004683425608,0.211028347094538,16.0959939044192,1.64664542381718,PRT
PNP,PNP,MARD,228,16.0267356825946,1.43914972013229,0.095310018548816,0.187805485800688,16.081279428146,1.60980488659594,PRT
PNP,PNP,MOD,107,16.0664248438593,1.31360968666484,0.126991441646274,0.251772884475556,16.0902122928918,1.33672206164309,PRT
PNP,PNP,SIRD,62,15.6776806630047,1.52953691756623,0.194251382782391,0.388429646429549,16.0819206897549,1.29499736643456,PRT
POF1B,POF1B,SIDD,187,20.0727552051622,1.92985334902894,0.141124853675426,0.27841112741847,20.6434874364216,1.82211262636378,PRT
POF1B,POF1B,MARD,208,20.0321508645397,2.14947449177155,0.14903924029585,0.293829430254476,20.6455492631167,1.53899946042479,PRT
POF1B,POF1B,MOD,115,20.0198509325516,2.10439621547012,0.19623595893686,0.388741923239827,20.7928381518078,2.36140183831516,PRT
POF1B,POF1B,SIRD,69,19.8798135089402,2.41647354699197,0.290909229413823,0.58050032916148,20.6911378204932,2.58434609370215,PRT
PON1,PON1,SIDD,242,23.1327571098591,0.329065715121805,0.0211531453289663,0.0416686547422124,23.1564505189407,0.408297391493015,PRT
PON1,PON1,MARD,268,23.1079801964787,0.316517617588708,0.019334390734897,0.0380672619399278,23.1188970797681,0.396052000755226,PRT
PON1,PON1,MOD,139,23.1523712021526,0.290262787675779,0.0246197683204643,0.0486807551039541,23.130554786935,0.369359317712266,PRT
PON1,PON1,SIRD,80,23.030841568351,0.348766160285555,0.0389932421325044,0.0776141070001977,23.055478473243,0.314920329018591,PRT
PON3,PON3,SIDD,192,16.5752532241204,1.45727703868899,0.105169911321369,0.207443652548588,16.5305757609366,1.98732728675623,PRT
PON3,PON3,MARD,214,16.3499476831813,1.77594090987459,0.121400821321765,0.239300914655283,16.5243836228559,2.17792554494992,PRT
PON3,PON3,MOD,100,16.4615406577122,1.11488290271831,0.111488290271831,0.221216955460755,16.4506830229829,1.33732815180749,PRT
PON3,PON3,SIRD,48,16.824667680094,1.5266719507088,0.220356115426494,0.44329932485159,16.6679727337369,1.98074411237215,PRT
POSTN,POSTN,SIDD,242,19.7918791943911,0.662301174229951,0.0425743319532556,0.0838653122952492,19.7667536293431,0.748239278833967,PRT
POSTN,POSTN,MARD,266,19.8769972088564,0.649069308801806,0.0397969927278703,0.0783585388095624,19.9060442081068,0.769568706696319,PRT
POSTN,POSTN,MOD,139,19.6787914724087,1.16046925386019,0.0984297174358187,0.194625428926624,19.8185165714854,0.857377125685165,PRT
POSTN,POSTN,SIRD,80,19.8547667375309,1.10369814234086,0.12339720364572,0.245615989938434,20.0042085213921,0.537339420769406,PRT
POTEE,POTEE,SIDD,229,14.0564456601172,1.82436480957488,0.120557420018279,0.237549136694135,14.2415924217843,1.95305505804764,PRT
POTEE,POTEE,MARD,254,13.9878899928405,1.87899805854287,0.117898823967606,0.232188152357282,14.0377980428909,2.09676666088064,PRT
POTEE,POTEE,MOD,136,13.840577091308,2.21780002279194,0.190174783018921,0.376107199702169,14.0825560624801,2.84375544341966,PRT
POTEE,POTEE,SIRD,79,14.3332810835242,1.79569856565082,0.202031872992396,0.402214562153447,14.292825695114,2.31644782145954,PRT
POTEF,POTEF,SIDD,228,13.8853142066647,1.90640089615609,0.126254483624827,0.248780610818276,14.1029930763286,1.96173468854384,PRT
POTEF,POTEF,MARD,250,13.8466247125073,1.91466921680519,0.121094313818303,0.238499715526757,13.8693805025939,2.24761844873808,PRT
POTEF,POTEF,MOD,133,13.764622252722,2.24113710218479,0.194331232437483,0.384406385834271,14.0151304065696,2.67300822631351,PRT
POTEF,POTEF,SIRD,78,14.2159931352995,1.7714289168474,0.200574828016595,0.399395507892314,14.2648685192141,2.39738643554991,PRT
POTEI,POTEI,SIDD,206,14.1266648534675,2.07548534066578,0.144605915752014,0.285105529511019,14.1392018426161,2.2363724760509,PRT
POTEI,POTEI,MARD,228,13.9805600667517,2.22868993296895,0.147598596504125,0.290838534521525,14.0724525527009,2.42791836103995,PRT
POTEI,POTEI,MOD,118,13.8765905460417,2.58206756505037,0.23769858620839,0.470749594266846,13.8820222652559,3.16134524660293,PRT
POTEI,POTEI,SIRD,71,14.1734876644042,2.27285993456962,0.269738848199091,0.537977169334681,14.264789087593,2.76792872781822,PRT
POTEKP,POTEKP,SIDD,190,15.2524451325122,1.93775350850002,0.140579414898411,0.277306262051316,15.2450100090873,2.28275887294079,PRT
POTEKP,POTEKP,MARD,212,15.0403443146773,2.20808895099653,0.151652171778877,0.298947474637218,15.0598157599917,2.32926032863028,PRT
POTEKP,POTEKP,MOD,115,15.2478162938516,2.27996955548024,0.212608257312686,0.4211753202225,15.198795679805,2.22121108020373,PRT
POTEKP,POTEKP,SIRD,73,14.9232303034835,2.10465298261636,0.246330999535177,0.491051872912777,14.8504221056261,2.63651820476326,PRT
PPBP,PPBP,SIDD,218,18.6567888525923,1.49723792808649,0.101405748106732,0.199866298140656,18.7059018656398,1.49306039725322,PRT
PPBP,PPBP,MARD,242,18.7642408006675,1.44234283726459,0.092717309184149,0.182639767511589,18.7917087038232,1.6401952361501,PRT
PPBP,PPBP,MOD,122,18.9203885980217,1.43002659155454,0.12946852432703,0.256317092847698,18.9717801416957,1.77316567674961,PRT
PPBP,PPBP,SIRD,76,18.8414927204434,1.41259638353622,0.162035917995932,0.322792101265427,18.6787570926521,1.54511468302994,PRT
PPIA,PPIA,SIDD,209,17.5689575209174,3.53478166981063,0.244505960761669,0.482027525260344,17.404488712102,3.49429498517398,PRT
PPIA,PPIA,MARD,234,17.7889452779204,3.17503846688277,0.207558757680038,0.408931766026931,17.6561961510944,3.54142868514974,PRT
PPIA,PPIA,MOD,120,17.370042858717,3.32422340856661,0.303458691176441,0.600878516908249,17.5483940924537,2.85154547361904,PRT
PPIA,PPIA,SIRD,75,17.2794782956329,3.13452934808556,0.361944272579996,0.721189705947265,17.3840093650853,3.38984843658575,PRT
PPIB,PPIB,SIDD,204,19.1039516091922,1.71521506499691,0.120089074766999,0.236781892212629,19.4234555022872,1.62484971695944,PRT
PPIB,PPIB,MARD,207,19.1407114005133,1.61375618963744,0.112163808771076,0.221136183614906,19.3723350099711,1.61210032336674,PRT
PPIB,PPIB,MOD,113,19.2935820442334,1.33735376347436,0.125807659371168,0.24927175037359,19.418871707603,1.40251070933832,PRT
PPIB,PPIB,SIRD,71,19.1854488087266,1.41918994131851,0.168426859185002,0.335916778577627,19.4636041661282,1.29618436269451,PRT
PPM1F,PPM1F,SIDD,178,18.0462829585007,0.965283591989646,0.0723510641063992,0.142781728503748,18.1842153093279,1.00367653258645,PRT
PPM1F,PPM1F,MARD,181,17.9359066520887,1.05746704735471,0.078600906614803,0.155097731653697,18.1192645067809,0.909210912911863,PRT
PPM1F,PPM1F,MOD,99,17.9623139445104,1.30673633498069,0.131331943122882,0.260623966864718,18.2861231992899,1.11408154063592,PRT
PPM1F,PPM1F,SIRD,61,17.8934205862753,1.20245499801377,0.153958586205399,0.307963024667055,18.1620347255729,0.864304264954615,PRT
PPP1R9B,PPP1R9B,SIDD,215,17.9979582690033,0.875166180396343,0.0596858381126301,0.117647427426815,18.1687738540817,0.859451461811979,PRT
PPP1R9B,PPP1R9B,MARD,244,17.9947748482373,0.604077889807184,0.0386721241236798,0.0761753599155895,18.0233503878962,0.728489708157888,PRT
PPP1R9B,PPP1R9B,MOD,119,17.8835839575694,0.781912855687336,0.0716778339615618,0.141941625482075,18.0058795913467,0.731036067016912,PRT
PPP1R9B,PPP1R9B,SIRD,67,18.0118338242915,1.04826933504647,0.12806648219838,0.255692981617676,18.140960376956,0.640105918726249,PRT
PRB3,PRB3,SIDD,233,19.1334927632193,0.68569328719113,0.0449212608265233,0.088505751907465,19.2038037481458,0.731283727771075,PRT
PRB3,PRB3,MARD,253,19.1660852556653,0.638895484278514,0.0401670149531054,0.0791058175986471,19.2033088997912,0.701230605011489,PRT
PRB3,PRB3,MOD,130,19.1430582863132,0.604133195531426,0.0529859863870419,0.104834071771948,19.2667893514116,0.694611126441391,PRT
PRB3,PRB3,SIRD,78,19.027611074012,0.794133180622743,0.0899178762471333,0.179049366301093,19.1605071226591,0.768424329260473,PRT
PRCP,PRCP,SIDD,218,17.7542965633088,1.26034620497466,0.0853614161059059,0.168243620895875,17.8305725889889,1.24267875101588,PRT
PRCP,PRCP,MARD,242,17.6529833491753,1.27075302200721,0.0816870980976905,0.160911837676682,17.8133791456621,1.15419315257264,PRT
PRCP,PRCP,MOD,127,17.747704185475,1.08639073654236,0.0964015891840227,0.190775910980357,17.8068119673985,1.10893991389068,PRT
PRCP,PRCP,SIRD,72,17.6192749415157,1.56155790485939,0.184031363956922,0.36694811763749,17.6195835425147,1.11236885309397,PRT
