"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"exRNA000006","hsa-miR-486-5p",24,"CG32",189,0.0406965780249942,0.910454487623259,0.0662258191483463,0.130641202706334,0.00451672243715961,0.69206718914878,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"CG48",193,0.0365090543819158,0.779259984382464,0.056092361068668,0.110636376161447,0.0237112227777381,0.717024212556503,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"PB",78,-0.120451776312148,0.840063087949379,0.0951184141717673,0.189404960301904,-0.105242959307775,1.04024124426175,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"SP",126,0.0344081511125744,0.802716584997597,0.0715116771367193,0.141530484326611,0.00896657803544443,0.826669357894908,"MIR"
"exRNA000007","hsa-miR-21-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000007","hsa-miR-21-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000007","hsa-miR-21-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000007","hsa-miR-21-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000007","hsa-miR-21-5p",12,"CG32",192,0.0918474891173507,0.493853225662861,0.0356407865970772,0.0703000968481394,0.118865572741571,0.613852610848604,"MIR"
"exRNA000007","hsa-miR-21-5p",12,"CG48",197,0.0263835920674534,0.618027153258351,0.0440326114820832,0.0868385282012456,0.0127377380796965,0.677301118235821,"MIR"
"exRNA000007","hsa-miR-21-5p",12,"PB",99,0.0107530264477612,0.636670096319023,0.0639877522645343,0.12698161185612,-0.0225367135019336,0.837004156103595,"MIR"
"exRNA000007","hsa-miR-21-5p",12,"SP",123,0.0165042344201139,0.489385812399902,0.0441264326678044,0.0873526807472337,0.0457203366392154,0.586726801474873,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"CG32",189,-0.0066663101798431,0.592449364657795,0.0430943501424261,0.0850106167783806,-0.0107572074460265,0.703214891140176,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"CG48",193,0.0660796220674709,0.619909878914337,0.0446220894887256,0.0880124527427322,0.0186958737526126,0.815228529719313,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"PB",78,0.0305837241489889,0.615987807784804,0.0697468848067809,0.13888379093615,0.0358612409553762,0.78184497387104,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"SP",126,-0.0253960026494217,0.548069230097502,0.0488258876966149,0.0966324915043887,-0.0807505186795119,0.596598816545583,"MIR"
"exRNA000008","hsa-let-7g-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000008","hsa-let-7g-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000008","hsa-let-7g-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000008","hsa-let-7g-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000008","hsa-let-7g-5p",12,"CG32",192,0.0329430367554112,0.543262460227875,0.0392065909566477,0.0773335104103385,0.0594907945666971,0.683292433336386,"MIR"
"exRNA000008","hsa-let-7g-5p",12,"CG48",197,-0.0124769233062317,0.641488219016433,0.045704143206919,0.09013502481911,-0.00159167346135369,0.753841804015376,"MIR"
"exRNA000008","hsa-let-7g-5p",12,"PB",99,-0.0241325889188871,0.67172548920199,0.0675109518121493,0.133973286694101,0.012126250037074,0.800941592920884,"MIR"
"exRNA000008","hsa-let-7g-5p",12,"SP",123,0.0148428390721288,0.577246708134017,0.0520485828436177,0.103035368272626,0.0264924039406029,0.60221919048037,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"CG32",189,-0.0404337838178949,0.657098326542518,0.0477968701652365,0.0942871025875548,0.00787390132195931,0.825930752937456,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"CG48",193,0.0414459270960674,0.703657798089396,0.0506503966201892,0.0999026645774037,0.0257184521614509,0.835836718360575,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"PB",78,-0.00151369721059526,0.686854346700962,0.0777709402571889,0.154861726620615,-0.153898589406352,0.847691591863776,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"SP",126,-0.0213566195129338,0.665341020360494,0.0592732891322751,0.117309195566532,0.0320323960415632,0.702178211422289,"MIR"
"exRNA000009","hsa-let-7f-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000009","hsa-let-7f-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000009","hsa-let-7f-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000009","hsa-let-7f-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000009","hsa-let-7f-5p",12,"CG32",192,0.121695350692141,0.613696888883176,0.0442897579996922,0.087359864190381,0.133384816220073,0.719901473279069,"MIR"
"exRNA000009","hsa-let-7f-5p",12,"CG48",197,0.0263222288633968,0.70098185484775,0.0499428892529553,0.0984944306246552,0.0599195664807155,0.779542887429914,"MIR"
"exRNA000009","hsa-let-7f-5p",12,"PB",99,-0.0199433518245482,0.74630483412697,0.0750064580008359,0.148847874780616,0.0124778691576104,0.81733512802392,"MIR"
"exRNA000009","hsa-let-7f-5p",12,"SP",123,0.0353198615182258,0.563284584248105,0.0507896605292785,0.100543205812137,0.0409237776488798,0.56818926844311,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"CG32",189,0.0272789291978285,0.727486954522766,0.0529168894633885,0.104387173641291,0.0394614005900031,0.869349486148776,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"CG48",193,0.0727607196519417,0.738176280504245,0.0531350913536042,0.104803467751582,0.0135979744777508,0.87494350124577,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"PB",78,0.0044649502927757,0.715173341648948,0.080977435018155,0.161246673407178,-0.0657229224068558,0.975255543257703,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"SP",126,0.0452710049860103,0.583549556515552,0.0519867263972636,0.102888183582842,0.0663571420543869,0.624265082969802,"MIR"
"exRNA000010","hsa-miR-423-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000010","hsa-miR-423-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000010","hsa-miR-423-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000010","hsa-miR-423-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000010","hsa-miR-423-5p",12,"CG32",192,-0.00509524670183764,0.393519979696979,0.0283998582761934,0.0560176409645671,-0.016285694469321,0.455278841922321,"MIR"
"exRNA000010","hsa-miR-423-5p",12,"CG48",197,0.0477138403061679,0.397787211929803,0.0283411653729139,0.0558927805018643,0.0421346667091953,0.457981185567441,"MIR"
"exRNA000010","hsa-miR-423-5p",12,"PB",99,0.0589666766255192,0.444615004520582,0.044685489277483,0.0886768991599528,0.0150577792941409,0.4968246981907,"MIR"
"exRNA000010","hsa-miR-423-5p",12,"SP",123,-0.0247424883849009,0.379178755860413,0.0341893970270311,0.0676813262002416,0.00624333692395318,0.402543709831911,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"CG32",189,-0.0131163590387071,0.415591569896017,0.0302298385275243,0.0596332746599579,-0.0183128158285779,0.474334549086766,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"CG48",193,0.0515216485375437,0.396165658622216,0.0285166280982002,0.0562460972050413,0.0367642538115245,0.515738248486697,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"PB",78,0.0996341141219375,0.51438696010064,0.0582428541585407,0.115976339343159,0.102612620674776,0.602544290395163,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"SP",126,-0.0508923310921967,0.388630478853383,0.0346219548077917,0.0685211454754813,-0.0764577072726862,0.486098311755378,"MIR"
"exRNA000011","hsa-miR-26a-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000011","hsa-miR-26a-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000011","hsa-miR-26a-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000011","hsa-miR-26a-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000011","hsa-miR-26a-5p",12,"CG32",192,0.126627734570146,0.888281008844003,0.0641061599465147,0.126446963804437,0.0388030873366478,1.05953049103413,"MIR"
"exRNA000011","hsa-miR-26a-5p",12,"CG48",197,0.0373531171572607,1.03890295089465,0.0740187704749779,0.145975468430445,0.0395676546479322,1.07819461871402,"MIR"
