"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"MYL12B","MYL12B",24,"SP",122,0.0761831406794898,2.68637103254985,0.243212605578911,0.48150350310964,-0.0265025479680983,2.71901307235016,"PRT"
"MYL6","MYL6",24,"CG32",149,0.0181249013390623,2.06871912099217,0.169476073850488,0.334905481665291,-0.063085440363345,1.12899944109982,"PRT"
"MYL6","MYL6",24,"CG48",151,-0.121285671856146,1.89978187635322,0.154602056515887,0.305479027637321,-0.14076476452691,1.15820262437292,"PRT"
"MYL6","MYL6",24,"PB",80,-0.113152519240692,2.04763923373003,0.228933026000796,0.455679789731904,-0.00694730547038169,1.02627828542749,"PRT"
"MYL6","MYL6",24,"SP",97,0.241124443992315,2.15630598762509,0.21893970153898,0.434591872724284,0.0604022180782522,1.03112456683857,"PRT"
"MYL9","MYL9",24,"CG32",141,0.263019602496999,3.13931107469003,0.26437768523756,0.52268888599325,0.153269892384024,2.62842623283028,"PRT"
"MYL9","MYL9",24,"CG48",135,0.20278573307648,3.34125467018199,0.287569415401169,0.568762197018485,0.158634734056225,3.33566287904225,"PRT"
"MYL9","MYL9",24,"PB",63,0.0635756837961644,2.55343408310944,0.321702455862086,0.643074046227998,0.06594227872489,2.87806667928742,"PRT"
"MYL9","MYL9",24,"SP",97,-0.169869886429708,3.14329314094898,0.319153063655336,0.63351382433017,-0.0345410999901752,2.15371803572937,"PRT"
"MYO1A","MYO1A",24,"CG32",157,-0.115442334404569,1.91526938512475,0.152855137649043,0.301932843886444,-0.151455821853549,1.7464738229628,"PRT"
"MYO1A","MYO1A",24,"CG48",120,-0.147013469143989,1.84274569205166,0.168218897213693,0.333090217590554,-0.170930706241581,2.03451222048545,"PRT"
"MYO1A","MYO1A",24,"PB",49,0.0449586298471186,1.78655204229628,0.25522172032804,0.513157661792208,-0.0733456621160009,1.99052246421009,"PRT"
"MYO1A","MYO1A",24,"SP",104,-0.304572979399369,1.59753888033634,0.156651575472272,0.310681452856431,-0.356191443919741,1.79489622400018,"PRT"
"MYO1B","MYO1B",24,"CG32",152,0.0519016013254809,2.2770765939234,0.184695300544925,0.364920776050892,-0.0981773514938027,2.23137699225171,"PRT"
"MYO1B","MYO1B",24,"CG48",124,-0.231898126974162,2.26652592257411,0.203540036437719,0.402895022090118,-0.0817555266793359,2.2020847238819,"PRT"
"MYO1B","MYO1B",24,"PB",63,0.101568637596432,2.12665755643729,0.26793366752997,0.535591769846702,-0.100490756355949,2.06742322840839,"PRT"
"MYO1B","MYO1B",24,"SP",102,0.0719866298215463,1.86075173533867,0.184241875883517,0.365486321232831,-0.0543063609082406,1.86246920848282,"PRT"
"MYOF","MYOF",24,"CG32",148,0.312255694045557,2.58174308013958,0.212217973928781,0.419392228824335,0.397574885158722,3.20989938700649,"PRT"
"MYOF","MYOF",24,"CG48",140,-0.143900478964981,2.38942214898721,0.20194302955591,0.399277259654036,-0.28493364878569,3.17652541412925,"PRT"
"MYOF","MYOF",24,"PB",51,-0.399405080682374,2.50581983731253,0.350884961235104,0.70477318618789,-0.46145319118645,2.85756290900727,"PRT"
"MYOF","MYOF",24,"SP",97,-0.17124268557507,2.45518668262676,0.249286438289221,0.494829669079416,-0.374041686668374,3.21006009209215,"PRT"
"NAP1L1","NAP1L1",24,"CG32",215,-0.109268047334482,0.832337826057409,0.0567649685898312,0.111890068628263,-0.0501396196147432,0.593978394469275,"PRT"
"NAP1L1","NAP1L1",24,"CG48",208,-0.111843957033716,0.773567364612006,0.0536372461179642,0.10574531536779,-0.0651348616694936,0.584842192859415,"PRT"
"NAP1L1","NAP1L1",24,"PB",90,0.138709584947699,0.976253118847208,0.102906114280008,0.204472257123335,0.067752551579586,0.624431197731645,"PRT"
"NAP1L1","NAP1L1",24,"SP",144,0.0138528581060578,1.06915088528493,0.0890959071070773,0.176115184446037,-0.0385385940996326,0.662907691381088,"PRT"
"NAXE","NAXE",24,"CG32",132,0.0959630672813276,1.27261446582363,0.110766871572945,0.219123294215581,0.122177477517466,0.837994704200837,"PRT"
"NAXE","NAXE",24,"CG48",144,-0.192587132780239,1.23722319086801,0.103101932572334,0.203800785707216,-0.0381236024436102,1.26658148565185,"PRT"
"NAXE","NAXE",24,"PB",43,-0.0850477534179905,1.08734001204731,0.165817797302652,0.33463386273814,-0.13624790640845,1.03555577010775,"PRT"
"NAXE","NAXE",24,"SP",111,-0.037921831798127,1.36391416451821,0.129457003477254,0.256553395020113,-0.0529882521094898,1.22384461287738,"PRT"
"NCAM1","NCAM1",24,"CG32",136,-0.13033282829417,3.10890838154179,0.266586694386052,0.527226446702033,-0.0310537439327954,3.70641898777033,"PRT"
"NCAM1","NCAM1",24,"CG48",134,-0.694054817715451,3.16790302937937,0.273665140238438,0.541299046744655,-0.602137362207881,3.4045094759573,"PRT"
"NCAM1","NCAM1",24,"PB",56,0.306540021684413,3.92792211771766,0.524890671658251,1.05190441233385,0.103295488527091,3.87230859000731,"PRT"
"NCAM1","NCAM1",24,"SP",96,0.110675897554829,3.47905101966561,0.355079157803761,0.704921254353804,0.17131682532741,4.51104597570826,"PRT"
"NCL","NCL",24,"CG32",186,-0.0661457145073838,1.47882093970424,0.108432412220396,0.213923047264771,-0.0459356292581852,0.950703868658998,"PRT"
"NCL","NCL",24,"CG48",184,-0.0653267312229417,1.23036271552882,0.0907035427788103,0.178959170647665,-0.0237306831870097,0.803634371321562,"PRT"
"NCL","NCL",24,"PB",74,0.0447552506060093,1.91672305044866,0.222814528740508,0.444068715386334,0.00253925321846005,1.36025478525429,"PRT"
"NCL","NCL",24,"SP",128,-0.000752128008671327,1.26481002271653,0.111794467996946,0.221221077144068,0.0374229363960374,0.765505217840776,"PRT"
"NDUFAF3","NDUFAF3",24,"CG32",210,-0.019929225578019,0.665021094184081,0.0458908153332603,0.0904682108216603,-0.0157006743557719,0.675803249525586,"PRT"
"NDUFAF3","NDUFAF3",24,"CG48",203,-0.0394630697811578,0.750606122862155,0.0526822219608269,0.103877613836523,-0.0140917207999536,0.598889582060284,"PRT"
"NDUFAF3","NDUFAF3",24,"PB",84,0.00657375470292834,0.976872039118537,0.10658547770349,0.211994228302997,0.0559539107647744,0.965319830795149,"PRT"
