"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"EPB42","SP",96,"-0.02 (0.12)",0.26711907751873
"EPCAM","CG32",114,"-0.22 (0.07)",0.00778049390705339
"EPCAM","CG48",105,"-0.21 (0.08)",0.040118888692011
"EPCAM","PB",57,"-0.11 (0.1)",0.857268440932781
"EPCAM","SP",82,"0.01 (0.08)",0.713447052616428
"EPPK1","CG32",213,"0.02 (0.11)",0.558021084716872
"EPPK1","CG48",212,"0.06 (0.08)",0.552336150486717
"EPPK1","PB",89,"-0.16 (0.17)",0.887283982445739
"EPPK1","SP",145,"-0.02 (0.1)",0.967248379841934
"EPRS1","CG32",197,"-0.36 (0.24)",0.0763025710855493
"EPRS1","CG48",188,"0.04 (0.25)",0.28918599628144
"EPRS1","PB",82,"-0.36 (0.36)",0.365666555055869
"EPRS1","SP",132,"0.37 (0.32)",0.162431672270068
"ERAP1","CG32",168,"-0.02 (0.11)",0.490904015412003
"ERAP1","CG48",175,"-0.13 (0.13)",0.438095101664399
"ERAP1","PB",71,"-0.21 (0.2)",0.743756624509896
"ERAP1","SP",108,"-0.07 (0.14)",0.499395776340132
"ERAP2","CG32",134,"0.21 (0.12)",0.541568649169282
"ERAP2","CG48",146,"-0.03 (0.11)",0.938748346559812
"ERAP2","PB",52,"0.17 (0.19)",0.265917074768444
"ERAP2","SP",96,"0.01 (0.14)",0.784237032174566
"ESD","CG32",144,"-0.02 (0.12)",0.957091751167245
"ESD","CG48",133,"0.05 (0.11)",0.973492097050292
"ESD","PB",64,"-0.25 (0.21)",0.702965401883708
"ESD","SP",77,"-0.27 (0.16)",0.035864681891339
"EZR","CG32",193,"-0.06 (0.25)",0.415253534280447
"EZR","CG48",194,"0.01 (0.21)",0.87132718507152
"EZR","PB",80,"0.41 (0.38)",0.645687816818154
"EZR","SP",137,"0.06 (0.3)",0.699096063195856
"F10","CG32",216,"-0.21 (0.04)",9.68035453108477e-07
"F10","CG48",214,"-0.17 (0.04)",0.000741050294087526
"F10","PB",91,"0.12 (0.06)",0.0237834669874645
"F10","SP",146,"-0.03 (0.04)",0.644128304172928
"F11","CG32",216,"-0.1 (0.07)",0.0690649101960911
"F11","CG48",214,"0.11 (0.07)",0.592980694210939
"F11","PB",91,"0.07 (0.1)",0.225093215862648
"F11","SP",146,"-0.03 (0.07)",0.739302365520206
"F12","CG32",216,"0.01 (0.04)",0.961616217793958
"F12","CG48",214,"0.02 (0.05)",0.812494244345931
"F12","PB",91,"0 (0.06)",0.471603858643832
"F12","SP",146,"0 (0.07)",0.61233437945549
"F13A1","CG32",216,"0.22 (0.07)",0.000213845391898033
"F13A1","CG48",214,"0.23 (0.06)",1.75799742143427e-05
"F13A1","PB",91,"-0.03 (0.1)",0.683643122760393
"F13A1","SP",146,"0.08 (0.08)",0.342331497973671
"F13B","CG32",216,"-0.14 (0.07)",0.240520119720461
"F13B","CG48",214,"0.02 (0.07)",0.528339071130763
"F13B","PB",91,"-0.01 (0.1)",0.824352244390727
"F13B","SP",146,"0.1 (0.08)",0.166613484601729
"F2","CG32",216,"0 (0.03)",0.974787206824885
"F2","CG48",214,"0.02 (0.03)",0.327195472800728
"F2","PB",91,"0.02 (0.04)",0.531364448168311
"F2","SP",146,"-0.02 (0.03)",0.400807241119337
"F5","CG32",216,"0.14 (0.11)",0.29497575805652
"F5","CG48",214,"0.13 (0.1)",0.265189502668054
"F5","PB",91,"0 (0.13)",0.647800995892087
"F5","SP",146,"0.26 (0.16)",0.768332034110634
"F9","CG32",216,"-0.1 (0.09)",0.742172808831273
"F9","CG48",214,"-0.18 (0.08)",0.106014820525068
"F9","PB",91,"-0.01 (0.14)",0.421151812758621
"F9","SP",146,"-0.05 (0.1)",0.770346639307178
"FARSA","CG32",151,"-0.04 (0.11)",0.664837124655958
"FARSA","CG48",143,"0.04 (0.11)",0.358737513601608
"FARSA","PB",62,"0.18 (0.23)",0.34309521714802
"FARSA","SP",98,"-0.02 (0.12)",0.555971802227063
"FASN","CG32",215,"0.1 (0.08)",0.641043646117966
"FASN","CG48",213,"-0.03 (0.1)",0.365196905133162
"FASN","PB",91,"-0.02 (0.15)",0.642744279346535
"FASN","SP",146,"-0.12 (0.09)",0.298104981475737
"FBLN1","CG32",216,"0.04 (0.05)",0.231714208721218
"FBLN1","CG48",214,"0.13 (0.04)",0.00201514226496077
"FBLN1","PB",91,"-0.04 (0.1)",0.753863270400456
"FBLN1","SP",146,"-0.02 (0.06)",0.657416078065048
"FBN1","CG32",216,"-0.13 (0.14)",0.337599707423155
"FBN1","CG48",214,"-0.09 (0.15)",0.520922636011637
"FBN1","PB",91,"-0.32 (0.2)",0.311964336857857
"FBN1","SP",146,"0.21 (0.17)",0.0502552352132711
"FBN2","CG32",214,"0.04 (0.19)",0.389535649211721
"FBN2","CG48",214,"-0.04 (0.19)",0.910239254719128
"FBN2","PB",91,"-0.2 (0.28)",0.398472614112222
"FBN2","SP",146,"-0.06 (0.24)",0.861373727994865
"FCGBP","CG32",213,"-0.28 (0.17)",0.0704825390548614
"FCGBP","CG48",207,"-0.22 (0.19)",0.591566115575481
"FCGBP","PB",90,"-0.25 (0.24)",0.0720145484951447
"FCGBP","SP",142,"-0.01 (0.24)",0.910611067393608
"FCGR3A","CG32",183,"-0.43 (0.15)",0.000351633197185577
"FCGR3A","CG48",178,"-0.08 (0.16)",0.418648700902169
"FCGR3A","PB",74,"0.16 (0.21)",0.751741569234276
"FCGR3A","SP",140,"-0.24 (0.13)",0.10111951780263
"FCGR3B","CG32",113,"-0.27 (0.21)",0.683042963163679
"FCGR3B","CG48",108,"0.25 (0.22)",0.308194508537324
"FCGR3B","PB",46,"-0.3 (0.48)",0.914110834122362
"FCGR3B","SP",105,"-0.17 (0.21)",0.0385364013565418
"FCN2","CG32",195,"-0.03 (0.14)",0.70314896649459
"FCN2","CG48",184,"-0.05 (0.14)",0.83682114702258
"FCN2","PB",88,"-0.18 (0.2)",0.280924350852382
"FCN2","SP",118,"-0.37 (0.16)",0.287641990799003
"FCN3","CG32",216,"0.01 (0.04)",0.602032867229166
"FCN3","CG48",214,"-0.07 (0.04)",0.501712747092011
"FCN3","PB",91,"-0.05 (0.06)",0.942892473803758
"FCN3","SP",146,"0.03 (0.04)",0.837620469235806
"FDX1","CG32",135,"0.11 (0.13)",0.672508020088586
"FDX1","CG48",129,"0 (0.12)",0.348978005829931
"FDX1","PB",45,"-0.19 (0.16)",0.010126917376816
"FDX1","SP",81,"0.07 (0.16)",0.362090637421128
"FER1L4","CG32",134,"0.08 (0.08)",0.654873072173919
"FER1L4","CG48",140,"-0.02 (0.09)",0.721840242093705
"FER1L4","PB",74,"-0.06 (0.14)",0.871285316327569
"FER1L4","SP",90,"0.01 (0.09)",0.857010780050257
"FERMT3","CG32",204,"-0.14 (0.11)",0.143468423304717
"FERMT3","CG48",197,"0.05 (0.1)",0.14340926886087
"FERMT3","PB",88,"0.33 (0.2)",0.349619980661477
"FERMT3","SP",137,"0.03 (0.1)",0.0859929561525525
"FETUB","CG32",216,"-0.23 (0.05)",3.21792635573663e-05
"FETUB","CG48",214,"-0.27 (0.04)",2.01304201367543e-08
"FETUB","PB",91,"0.03 (0.06)",0.851879822121144
"FETUB","SP",146,"-0.02 (0.05)",0.743285494328554
"FGA","CG32",216,"-0.06 (0.04)",0.122161920793243
"FGA","CG48",214,"-0.09 (0.05)",0.00599594527865919
"FGA","PB",91,"-0.16 (0.07)",0.0763808217137156
"FGA","SP",146,"-0.04 (0.06)",0.56867447774928
"FGB","CG32",216,"-0.06 (0.04)",0.090453135006189
"FGB","CG48",214,"-0.05 (0.05)",0.0351665975117149
"FGB","PB",91,"-0.18 (0.07)",0.0309848609469394
"FGB","SP",146,"-0.04 (0.07)",0.598531782909955
"FGG","CG32",216,"-0.08 (0.04)",0.023350841818373
"FGG","CG48",214,"0 (0.07)",0.0459909607470544
"FGG","PB",91,"-0.08 (0.06)",0.475953518345527
"FGG","SP",146,"-0.01 (0.07)",0.665058343217945
"FLNA","CG32",216,"0.19 (0.14)",0.131449260543338
"FLNA","CG48",214,"0 (0.15)",0.973048226478043
"FLNA","PB",91,"0.22 (0.17)",0.251244197920074
"FLNA","SP",146,"0.17 (0.17)",0.456096760471301
"FLNB","CG32",213,"0.09 (0.16)",0.836762539698244
"FLNB","CG48",211,"0.15 (0.15)",0.511094888641386
"FLNB","PB",90,"0 (0.28)",0.611140475198997
"FLNB","SP",144,"0.06 (0.19)",0.976106299246832
"FLNC","CG32",182,"-0.4 (0.19)",0.0393975073479342
"FLNC","CG48",183,"0.05 (0.16)",0.700056476799131
"FLNC","PB",90,"0.12 (0.21)",0.576770390300821
"FLNC","SP",128,"-0.05 (0.19)",0.568749908311006
"FN1","CG32",216,"0.01 (0.07)",0.582667349847073
"FN1","CG48",214,"-0.08 (0.07)",0.248192148332954
"FN1","PB",91,"-0.03 (0.12)",0.802482995587784
"FN1","SP",146,"-0.12 (0.09)",0.460089310384943
"FTL","CG32",210,"0.32 (0.27)",0.123586439092635
"FTL","CG48",206,"-0.14 (0.27)",0.874350359083619
"FTL","PB",87,"-0.51 (0.47)",0.524357368360022
"FTL","SP",135,"0.2 (0.27)",0.463883494835079
"FUBP1","CG32",175,"-0.15 (0.21)",0.585460696612373
"FUBP1","CG48",182,"-0.2 (0.22)",0.285444343842341
"FUBP1","PB",66,"-0.25 (0.34)",0.477195906347571
"FUBP1","SP",137,"0.37 (0.24)",0.590710621724094
"FUBP3","CG32",207,"0.2 (0.12)",0.00936984075369487
"FUBP3","CG48",210,"0.29 (0.12)",0.0145933229501512
"FUBP3","PB",85,"0.03 (0.09)",0.910939991512238
"FUBP3","SP",143,"-0.13 (0.15)",0.675412416425258
"G6PD","CG32",183,"-0.14 (0.1)",0.0326922109730543
"G6PD","CG48",190,"-0.24 (0.1)",0.00627062948105163
"G6PD","PB",86,"-0.12 (0.14)",0.363803090129125
"G6PD","SP",122,"-0.16 (0.11)",0.153141454229798
"GAA","CG32",141,"-0.14 (0.36)",0.249260622628936
"GAA","CG48",145,"0.48 (0.4)",0.322185930167247
"GAA","PB",69,"0.35 (0.46)",0.696355461451312
"GAA","SP",95,"0.16 (0.44)",0.209356659097622
"GALE","CG32",211,"0.02 (0.24)",0.835382521186765
"GALE","CG48",209,"0 (0.23)",0.508607106062274
"GALE","PB",87,"0.2 (0.32)",0.872377526662947
"GALE","SP",146,"-0.19 (0.27)",0.501911381393287
"GANAB","CG32",102,"0.55 (0.32)",0.238446540801689
"GANAB","CG48",125,"0.22 (0.32)",0.089348065268155
"GANAB","PB",72,"0.11 (0.36)",0.393351870697969
"GANAB","SP",70,"0.6 (0.39)",0.70433844573081
"GAPDH","CG32",208,"0.12 (0.16)",0.704536040258149
"GAPDH","CG48",203,"-0.03 (0.15)",0.701960579938667
"GAPDH","PB",83,"0.21 (0.27)",0.939022829938549
"GAPDH","SP",138,"-0.11 (0.15)",0.906607206413247
"GAS6","CG32",212,"-0.02 (0.05)",0.825492195338732
"GAS6","CG48",211,"-0.01 (0.06)",0.625178860614538
"GAS6","PB",90,"-0.03 (0.07)",0.905874884343744
"GAS6","SP",145,"0.01 (0.06)",0.974641053037763
"GATM","CG32",137,"-0.25 (0.19)",0.0901747444688937
"GATM","CG48",135,"-0.14 (0.17)",0.415911698921316
"GATM","PB",52,"0.01 (0.31)",0.687420472984935
"GATM","SP",96,"-0.09 (0.18)",0.197180679227673
"GC","CG32",216,"-0.11 (0.05)",0.0462332078007369
"GC","CG48",214,"0.02 (0.04)",0.287460683576967
"GC","PB",91,"0.04 (0.06)",0.247383788397122
"GC","SP",146,"0.13 (0.06)",0.0122546263690835
"GCLC","CG32",136,"0.19 (0.21)",0.158856256472838
"GCLC","CG48",134,"-0.08 (0.19)",0.972175631471688
"GCLC","PB",48,"0.49 (0.26)",0.172221880357067
"GCLC","SP",83,"-0.29 (0.23)",0.23878179720203
"GDI1","CG32",215,"0.02 (0.06)",0.959194912725257
"GDI1","CG48",214,"0.02 (0.06)",0.567173557279092
"GDI1","PB",91,"0.02 (0.11)",0.755648014230975
"GDI1","SP",145,"0.13 (0.08)",0.174585596939537
"GDI2","CG32",214,"0.18 (0.15)",0.116509562139778
"GDI2","CG48",214,"0.04 (0.13)",0.674480576040446
"GDI2","PB",91,"-0.04 (0.23)",0.818871421139561
"GDI2","SP",144,"-0.24 (0.17)",0.15668531235263
"GFAP","CG32",152,"0.15 (0.1)",0.177468013734137
"GFAP","CG48",140,"0.08 (0.12)",0.0529934737619602
"GFAP","PB",46,"0.74 (0.42)",0.322331978546669
"GFAP","SP",111,"0.17 (0.15)",0.635686705081628
"GGH","CG32",165,"-0.07 (0.17)",0.865723926355815
"GGH","CG48",176,"0.03 (0.16)",0.411887872978392
"GGH","PB",84,"0.08 (0.23)",0.745956442625547
"GGH","SP",116,"-0.01 (0.21)",0.451674029651785
"GGT1","CG32",138,"0.01 (0.17)",0.325759783323607
"GGT1","CG48",137,"0.33 (0.17)",0.370626511571202
"GGT1","PB",77,"0.13 (0.2)",0.249255992803918
"GGT1","SP",79,"-0.17 (0.25)",0.306519778256018
"GIT1","CG32",158,"0.03 (0.06)",0.779974472404959
"GIT1","CG48",155,"0.17 (0.08)",0.17945507236433
"GIT1","PB",79,"-0.04 (0.08)",0.983146554358474
"GIT1","SP",109,"0.09 (0.08)",0.303567701112131
"GK","CG32",144,"-0.11 (0.1)",0.397155634502064
"GK","CG48",154,"-0.21 (0.16)",0.0389053915115447
"GK","PB",58,"0.49 (0.29)",0.504298983724117
"GK","SP",112,"-0.11 (0.17)",0.540143841646132
"GK3P","CG32",144,"-0.11 (0.1)",0.408741245075916
"GK3P","CG48",154,"-0.21 (0.16)",0.0389053915115447
"GK3P","PB",58,"0.48 (0.29)",0.510682952862456
"GK3P","SP",112,"-0.12 (0.17)",0.520350198613763
"GMPS","CG32",116,"-0.22 (0.16)",0.0266224347675608
"GMPS","CG48",121,"-0.21 (0.17)",0.0373718581679623
"GMPS","PB",58,"0.13 (0.18)",0.139935956031604
"GMPS","SP",78,"-0.23 (0.27)",0.842989523042328
"GNA13","CG32",125,"-0.1 (0.09)",0.059754450345471
"GNA13","CG48",143,"-0.07 (0.1)",0.32323174495053
"GNA13","PB",49,"-0.2 (0.12)",0.142510339297755
"GNA13","SP",105,"0.02 (0.13)",0.917682254107033
"GNAI2","CG32",113,"0.14 (0.27)",0.761213863669642
"GNAI2","CG48",106,"0 (0.38)",0.936122191061918
"GNAI2","PB",60,"0.48 (0.46)",0.0854887907197068
"GNAI2","SP",82,"0.02 (0.37)",0.553690025956312
"GP1BA","CG32",145,"-0.02 (0.16)",0.983324681905557
"GP1BA","CG48",145,"-0.28 (0.17)",0.092164708926996
"GP1BA","PB",83,"-0.08 (0.26)",0.967421538183122
"GP1BA","SP",87,"0.05 (0.2)",0.775380433864964
"GPI","CG32",214,"-0.11 (0.1)",0.303084193916807
"GPI","CG48",214,"0.1 (0.1)",0.0575047550554869
"GPI","PB",91,"0.27 (0.16)",0.34089835512278
"GPI","SP",144,"-0.03 (0.12)",0.943755301986206
"GPLD1","CG32",216,"0.03 (0.06)",0.241096231776182
"GPLD1","CG48",214,"-0.02 (0.07)",0.358300115044192
"GPLD1","PB",91,"0.03 (0.09)",0.815222432122145
"GPLD1","SP",146,"-0.16 (0.12)",0.085092053247407
"GPX3","CG32",216,"0.05 (0.04)",0.188204454652183
"GPX3","CG48",214,"0.07 (0.03)",0.0184683606603689
"GPX3","PB",91,"-0.01 (0.05)",0.999063010491325
"GPX3","SP",146,"-0.06 (0.05)",0.449749397164727
"GSN","CG32",216,"0.08 (0.03)",0.000407113530975207
"GSN","CG48",214,"0.11 (0.03)",2.66417464005344e-05
"GSN","PB",91,"-0.01 (0.04)",0.802482995587784
"GSN","SP",146,"0.06 (0.03)",0.32779591667715
"GSPT1","CG32",138,"-0.12 (0.17)",0.916810132207388
"GSPT1","CG48",137,"0.16 (0.12)",0.0671170577480749
"GSPT1","PB",52,"0.11 (0.28)",0.14518601458539
"GSPT1","SP",102,"-0.03 (0.18)",0.323298556665397
"GSPT2","CG32",137,"-0.32 (0.17)",0.777723835040214
"GSPT2","CG48",135,"0.11 (0.12)",0.0616222420636574
"GSPT2","PB",51,"0.01 (0.25)",0.102693545705992
"GSPT2","SP",102,"-0.03 (0.18)",0.376568282651922
"GSTM1","CG32",173,"0.17 (0.08)",0.00167039952941528
"GSTM1","CG48",171,"0.13 (0.07)",0.00909434779359225
"GSTM1","PB",70,"-0.08 (0.09)",0.0942355161367678
"GSTM1","SP",115,"0.02 (0.1)",0.99747061851535
"GSTM2","CG32",171,"0.09 (0.07)",0.00436707355877423
"GSTM2","CG48",176,"0.15 (0.09)",0.0264051777883721
"GSTM2","PB",70,"-0.07 (0.09)",0.191465224578015
"GSTM2","SP",115,"0.08 (0.11)",0.930288980259386
"GSTM4","CG32",172,"0.16 (0.08)",0.003207411103275
"GSTM4","CG48",171,"0.16 (0.07)",0.0101368493157683
"GSTM4","PB",70,"-0.09 (0.08)",0.0760004902304484
"GSTM4","SP",114,"-0.06 (0.07)",0.496093324576212
"GSTP1","CG32",165,"-0.12 (0.17)",0.896121186864775
"GSTP1","CG48",172,"-0.13 (0.17)",0.394421888331344
"GSTP1","PB",77,"0.29 (0.23)",0.182050081424414
"GSTP1","SP",108,"0.15 (0.2)",0.257502805103394
"H1.0","CG32",173,"0.14 (0.21)",0.977033769171544
"H1.0","CG48",173,"-0.35 (0.21)",0.682939332064589
"H1.0","PB",84,"-0.33 (0.24)",0.100873865414356
"H1.0","SP",106,"-0.36 (0.27)",0.185894737667822
"H1.5","CG32",122,"0.26 (0.22)",0.0128772555248912
"H1.5","CG48",112,"-0.23 (0.23)",0.293198088981665
"H1.5","PB",55,"0.05 (0.26)",0.727624732371004
"H1.5","SP",80,"0.28 (0.29)",0.462092575647809
"H2AC11","CG32",141,"0.22 (0.18)",0.558260768330896
"H2AC11","CG48",152,"-0.12 (0.15)",0.823471971929685
"H2AC11","PB",52,"-0.27 (0.36)",0.165357055157617
"H2AC11","SP",107,"-0.35 (0.19)",0.0882668820633841
"H2AC12","CG32",141,"0.22 (0.18)",0.558260768330896
"H2AC12","CG48",152,"-0.12 (0.15)",0.823471971929685
"H2AC12","PB",52,"-0.27 (0.36)",0.165357055157617
"H2AC12","SP",107,"-0.35 (0.19)",0.0882668820633841
"H2AC14","CG32",141,"0.22 (0.18)",0.558260768330896
"H2AC14","CG48",152,"-0.12 (0.15)",0.823471971929685
"H2AC14","PB",52,"-0.27 (0.36)",0.165357055157617
"H2AC14","SP",107,"-0.35 (0.19)",0.0882668820633841
"H2AC4","CG32",142,"0.17 (0.17)",0.347402020287387
"H2AC4","CG48",156,"-0.08 (0.15)",0.801415554296102
"H2AC4","PB",51,"-0.55 (0.34)",0.0181591141228905
"H2AC4","SP",110,"-0.12 (0.16)",0.391572945067513
"H2AC6","CG32",142,"0.17 (0.17)",0.343170579224888
"H2AC6","CG48",156,"-0.08 (0.15)",0.802866882344487
"H2AC6","PB",53,"-0.54 (0.33)",0.0172992957465084
"H2AC6","SP",110,"-0.12 (0.16)",0.391572945067513
"H2AC7","CG32",141,"0.22 (0.18)",0.568248696754424
"H2AC7","CG48",152,"-0.12 (0.15)",0.830995934332413
"H2AC7","PB",51,"-0.22 (0.36)",0.175961853732618
"H2AC7","SP",107,"-0.35 (0.19)",0.0882668820633841
"H2AJ","CG32",141,"0.21 (0.18)",0.56181807284287
"H2AJ","CG48",152,"-0.13 (0.15)",0.782397291935176
"H2AJ","PB",52,"-0.26 (0.35)",0.174079567646129
"H2AJ","SP",107,"-0.35 (0.18)",0.0983184762173531
"H2AW","CG32",142,"0.17 (0.17)",0.347402020287387
"H2AW","CG48",156,"-0.08 (0.15)",0.801415554296102
"H2AW","PB",51,"-0.55 (0.34)",0.0181591141228905
"H2AW","SP",110,"-0.12 (0.16)",0.391572945067513
"H2BC11","CG32",101,"-0.29 (0.25)",0.707651546122619
"H2BC11","CG48",115,"-0.16 (0.26)",0.768396465641807
"H2BC11","PB",38,"0.11 (0.41)",0.879408407889908
"H2BC11","SP",83,"-0.46 (0.3)",0.0950248670297486
"H2BC17","CG32",101,"-0.29 (0.25)",0.707651546122619
"H2BC17","CG48",115,"-0.16 (0.26)",0.768396465641807
"H2BC17","PB",38,"0.11 (0.41)",0.879408407889908
"H2BC17","SP",83,"-0.46 (0.3)",0.0950248670297486
"H2BC21","CG32",101,"-0.29 (0.25)",0.707651546122619
"H2BC21","CG48",115,"-0.16 (0.26)",0.768396465641807
"H2BC21","PB",38,"0.11 (0.41)",0.879408407889908
"H2BC21","SP",83,"-0.46 (0.3)",0.0950248670297486
"H2BC3","CG32",101,"-0.29 (0.25)",0.707651546122619
"H2BC3","CG48",115,"-0.16 (0.26)",0.768396465641807
"H2BC3","PB",38,"0.11 (0.41)",0.879408407889908
"H2BC3","SP",83,"-0.46 (0.3)",0.0950248670297486
"HABP2","CG32",216,"-0.1 (0.07)",0.0268443749010851
"HABP2","CG48",214,"-0.01 (0.07)",0.510356225679951
"HABP2","PB",91,"0.16 (0.1)",0.0569611120744307
"HABP2","SP",146,"-0.21 (0.12)",0.183369921908268
"HBA1","CG32",216,"0.1 (0.06)",0.0959129757685407
"HBA1","CG48",214,"-0.02 (0.06)",0.856911016666268
"HBA1","PB",91,"0 (0.09)",0.484718434434333
"HBA1","SP",146,"0.01 (0.08)",0.979496914158628
"HBB","CG32",216,"-0.11 (0.06)",0.232556250885617
"HBB","CG48",214,"-0.16 (0.06)",0.0225243158669713
"HBB","PB",91,"-0.18 (0.12)",0.0699845903980966
"HBB","SP",146,"-0.11 (0.09)",0.132813458460949
"HBD","CG32",216,"-0.08 (0.06)",0.423192644564856
"HBD","CG48",214,"-0.15 (0.06)",0.0470868206308226
"HBD","PB",91,"-0.12 (0.11)",0.199297250677775
"HBD","SP",146,"-0.07 (0.1)",0.387641096320324
"HBE1","CG32",216,"-0.1 (0.08)",0.490923194230635
"HBE1","CG48",214,"-0.2 (0.09)",0.0481239913728944
"HBE1","PB",91,"-0.24 (0.15)",0.158425950079875
"HBE1","SP",146,"0.02 (0.1)",0.802782432643612
"HBG1","CG32",216,"-0.08 (0.08)",0.549615405203071
"HBG1","CG48",214,"-0.18 (0.09)",0.0802260776653125
"HBG1","PB",91,"-0.23 (0.15)",0.204275556720724
"HBG1","SP",146,"-0.01 (0.1)",0.65075831723594
"HBG2","CG32",216,"-0.07 (0.08)",0.655036008324348
"HBG2","CG48",214,"-0.18 (0.09)",0.0944142735880305
"HBG2","PB",91,"-0.24 (0.15)",0.198476225953903
"HBG2","SP",146,"0 (0.1)",0.711621397494991
"HBZ","CG32",212,"0.18 (0.16)",0.247711431296624
"HBZ","CG48",208,"0.31 (0.16)",0.0450660303622926
"HBZ","PB",91,"0.08 (0.15)",0.842682147368838
"HBZ","SP",140,"-0.08 (0.18)",0.642266017403765
"HCK","CG32",119,"-0.26 (0.17)",0.0908419988773113
"HCK","CG48",111,"-0.18 (0.17)",0.2585491449592
"HCK","PB",33,"-0.43 (0.24)",0.164982485823577
"HCK","SP",90,"0 (0.2)",0.915734477538003
"HDHD2","CG32",190,"0.13 (0.06)",0.0902870686690864
"HDHD2","CG48",185,"0.11 (0.07)",0.56048193241267
"HDHD2","PB",86,"0.1 (0.1)",0.503463054247029
"HDHD2","SP",122,"-0.09 (0.08)",0.376849299374087
"HELZ2","CG32",127,"0.11 (0.07)",0.0686360230937512
"HELZ2","CG48",126,"0.12 (0.07)",0.567359498662977
"HELZ2","PB",42,"0.05 (0.15)",0.438976285643656
"HELZ2","SP",91,"0.06 (0.07)",0.921836981361723
"HES7","CG32",202,"-0.05 (0.09)",0.723561323249932
"HES7","CG48",209,"-0.04 (0.07)",0.776906005552664
"HES7","PB",85,"0.09 (0.18)",0.886450946379899
"HES7","SP",139,"0.06 (0.09)",0.994498406643813
"HEXB","CG32",122,"-0.33 (0.24)",0.118600502828216
"HEXB","CG48",122,"0.08 (0.23)",0.339076448052386
"HEXB","PB",53,"-0.02 (0.38)",0.855494133478633
"HEXB","SP",92,"0.1 (0.26)",0.749875250256065
"HGFAC","CG32",216,"-0.05 (0.06)",0.413280890212822
"HGFAC","CG48",214,"0.05 (0.05)",0.988366381276829
"HGFAC","PB",91,"-0.01 (0.09)",0.978451856785279
"HGFAC","SP",146,"0.04 (0.05)",0.774380489162572
"HK1","CG32",132,"-0.12 (0.18)",0.146929512167883
"HK1","CG48",130,"0.13 (0.12)",0.707927563382046
"HK1","PB",44,"-0.26 (0.36)",0.495222971239416
"HK1","SP",98,"-0.01 (0.19)",0.677557994888114
"HK2","CG32",140,"0.12 (0.12)",0.31234006892986
"HK2","CG48",133,"0.09 (0.11)",0.857669788326017
"HK2","PB",49,"-0.18 (0.24)",0.702763103438855
"HK2","SP",100,"-0.19 (0.12)",0.0819209229653596
"HK3","CG32",119,"-0.12 (0.1)",0.279227163391499
"HK3","CG48",121,"-0.06 (0.08)",0.451160631683556
"HK3","PB",39,"-0.28 (0.21)",0.402357337885829
"HK3","SP",91,"-0.11 (0.11)",0.280082098297676
"HMBS","CG32",161,"-0.21 (0.17)",0.308228354380035
"HMBS","CG48",158,"0.03 (0.17)",0.755098258025384
"HMBS","PB",64,"0.09 (0.28)",0.70075006789461
"HMBS","SP",110,"-0.04 (0.22)",0.516310746762288
"HMOX1","CG32",123,"-0.15 (0.17)",0.306116762753624
"HMOX1","CG48",121,"-0.11 (0.15)",0.538469004789922
"HMOX1","PB",48,"0.4 (0.23)",0.355394158170436
"HMOX1","SP",67,"-0.38 (0.25)",0.259376527398382
"HNF4A","CG32",122,"-0.07 (0.08)",0.583940639658204
"HNF4A","CG48",140,"-0.02 (0.07)",0.550025681930995
"HNF4A","PB",58,"-0.22 (0.09)",0.089809789911582
"HNF4A","SP",81,"-0.1 (0.1)",0.50188509368767
"HNRNPC","CG32",138,"0.05 (0.15)",0.795061320303628
"HNRNPC","CG48",121,"0.12 (0.13)",0.0386348849706089
"HNRNPC","PB",37,"0.19 (0.26)",0.578788923978433
"HNRNPC","SP",89,"0.11 (0.11)",0.43113221986506
"HNRNPL","CG32",157,"-0.17 (0.12)",0.619666944856681
"HNRNPL","CG48",144,"-0.12 (0.13)",0.817242903253916
"HNRNPL","PB",54,"0.08 (0.3)",0.944583612610375
"HNRNPL","SP",107,"0.2 (0.16)",0.208595172137253
"HNRNPM","CG32",173,"-0.03 (0.12)",0.813881057559958
"HNRNPM","CG48",175,"-0.1 (0.13)",0.198457034278219
"HNRNPM","PB",66,"0.25 (0.21)",0.523049086290697
"HNRNPM","SP",128,"-0.13 (0.14)",0.973786638112538
"HNRNPUL1","CG32",178,"0.02 (0.09)",0.284088052254363
"HNRNPUL1","CG48",185,"0.14 (0.1)",0.300660896708268
"HNRNPUL1","PB",62,"-0.01 (0.17)",0.11878190155579
"HNRNPUL1","SP",133,"-0.06 (0.1)",0.510388836487988
"HP","CG32",216,"-0.04 (0.05)",0.990257313923601
"HP","CG48",214,"0.01 (0.05)",0.851888682105375
"HP","PB",91,"0.13 (0.07)",0.251244197920074
"HP","SP",146,"0.01 (0.07)",0.528282785561724
"HPR","CG32",216,"-0.03 (0.04)",0.913629250470409
"HPR","CG48",214,"-0.05 (0.04)",0.31436959099508
"HPR","PB",91,"0.08 (0.06)",0.230526531155788
"HPR","SP",146,"-0.03 (0.05)",0.832475462323104
"HPX","CG32",216,"-0.05 (0.02)",0.0732262199561318
"HPX","CG48",214,"-0.03 (0.02)",0.115230145182323
"HPX","PB",91,"0.03 (0.03)",0.585018344738555
"HPX","SP",146,"-0.06 (0.02)",0.0797414853795908
"HRG","CG32",216,"-0.02 (0.05)",0.962761157222213
