"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"APCS","SP",146,"-0.05 (0.04)",0.40599910851181
"APEX1","CG32",152,"0.15 (0.13)",0.685800277516661
"APEX1","CG48",149,"0.02 (0.13)",0.985799158093906
"APEX1","PB",60,"-0.07 (0.18)",0.636567460443521
"APEX1","SP",113,"0.01 (0.14)",0.577901969186101
"APMAP","CG32",215,"0.72 (0.24)",0.0528307605537562
"APMAP","CG48",213,"-0.54 (0.23)",0.0201386744843966
"APMAP","PB",91,"-0.62 (0.51)",0.259090629285077
"APMAP","SP",145,"-0.2 (0.26)",0.170831657252498
"APOA1","CG32",216,"0.02 (0.02)",0.46816124889611
"APOA1","CG48",214,"-0.01 (0.02)",0.880422037769916
"APOA1","PB",91,"0 (0.05)",0.991567249631556
"APOA1","SP",146,"0.01 (0.03)",0.897754738282758
"APOA2","CG32",216,"0.14 (0.02)",8.73395261317036e-08
"APOA2","CG48",214,"0.16 (0.02)",2.33051917294687e-09
"APOA2","PB",91,"0.04 (0.04)",0.18567449463503
"APOA2","SP",146,"0 (0.03)",0.791591156699803
"APOA4","CG32",216,"0.1 (0.03)",0.000385531406034301
"APOA4","CG48",214,"0.1 (0.02)",0.000521944998359332
"APOA4","PB",91,"0.06 (0.04)",0.141805016833454
"APOA4","SP",146,"-0.01 (0.03)",0.881091995121229
"APOB","CG32",216,"0.02 (0.02)",0.469483803697588
"APOB","CG48",214,"0.05 (0.02)",0.0126791600653445
"APOB","PB",91,"0.02 (0.04)",0.806117640796316
"APOB","SP",146,"-0.03 (0.02)",0.157514643145906
"APOC1","CG32",216,"0.21 (0.03)",2.97578756912247e-06
"APOC1","CG48",214,"0.21 (0.03)",3.51902494566312e-08
"APOC1","PB",91,"0.11 (0.05)",0.0653957192036643
"APOC1","SP",146,"0 (0.03)",0.444236772370518
"APOC2","CG32",216,"0.04 (0.04)",0.499096533015357
"APOC2","CG48",214,"0.09 (0.03)",0.0605600895667123
"APOC2","PB",91,"-0.05 (0.07)",0.833505883928919
"APOC2","SP",146,"-0.12 (0.04)",0.05660016683045
"APOC3","CG32",216,"0.03 (0.03)",0.53722674322345
"APOC3","CG48",214,"0.01 (0.03)",0.406306352896394
"APOC3","PB",91,"0.09 (0.07)",0.417095452415027
"APOC3","SP",146,"0 (0.04)",0.788546324926051
"APOC4","CG32",216,"0.05 (0.14)",0.278090150850667
"APOC4","CG48",214,"-0.01 (0.13)",0.647676170101113
"APOC4","PB",91,"-0.06 (0.19)",0.596369569603604
"APOC4","SP",146,"0.19 (0.17)",0.329100539732756
"APOD","CG32",216,"0.12 (0.03)",0.00159069346430198
"APOD","CG48",214,"0.19 (0.03)",9.41082086861922e-08
"APOD","PB",91,"0.02 (0.04)",0.455844155757548
"APOD","SP",146,"0 (0.03)",0.914462690790335
"APOE","CG32",216,"0.02 (0.03)",0.38871537064398
"APOE","CG48",214,"0.05 (0.03)",0.104486726808505
"APOE","PB",91,"-0.03 (0.04)",0.946631443814502
"APOE","SP",146,"0.02 (0.04)",0.916553999411011
"APOF","CG32",216,"0.18 (0.04)",0.000156597764660723
"APOF","CG48",214,"0.21 (0.04)",8.38979021685737e-05
"APOF","PB",91,"0.06 (0.08)",0.214502343027479
"APOF","SP",146,"-0.12 (0.06)",0.340325455583625
"APOH","CG32",216,"-0.09 (0.03)",0.0280537191630709
"APOH","CG48",214,"-0.02 (0.03)",0.317114355805575
"APOH","PB",91,"0.02 (0.04)",0.585018344738555
"APOH","SP",146,"0.01 (0.03)",0.646019736069422
"APOL1","CG32",216,"-0.02 (0.03)",0.736750018307472
"APOL1","CG48",214,"-0.05 (0.03)",0.140642694026041
"APOL1","PB",91,"0.02 (0.05)",0.282588190424439
"APOL1","SP",146,"-0.08 (0.03)",0.0797414853795908
"APOM","CG32",216,"0.11 (0.03)",0.00250638786081813
"APOM","CG48",214,"0.19 (0.03)",1.13779420233752e-06
"APOM","PB",91,"-0.01 (0.04)",0.853721819100487
"APOM","SP",146,"-0.07 (0.05)",0.206504394542736
"ARF1","CG32",188,"0 (0.07)",0.469899161111232
"ARF1","CG48",190,"0.03 (0.07)",0.693011123885802
