source,target,r,p,t,n,type1,type2,name1,name2,fdr
PBG,exRNA000760,-0.159031528677139,0.0021533006870149,-3.09007955698711,372,CLN,MIR,Two-hours postprandial blood glucose (mmol/L),hsa-miR-205-5p,0.0271294855954889
PBG,A2M,-0.171700797023086,0.0004353973428388,-3.54625937801021,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),A2M,0.0071752493262723
PBG,APOA2,-0.153591238245693,0.0016785809095698,-3.16264584892571,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),APOA2,0.0221937428087438
PBG,CRP,0.221922957891325,0.0005053493923851,3.52593774667644,244,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),CRP,0.0080814138369023
PBG,ORM1,0.157131656503735,0.001303440052971,3.23737195767353,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),ORM1,0.0178665159563086
PBG,PRG4,0.189127616002642,0.0001040554825571,3.91890405786962,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),PRG4,0.0021028444777866
PBG,PZP,-0.190315762222586,9.3925697015436e-05,-3.94444581469921,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),PZP,0.0019196252442027
PBG,SERPINA3,0.160565301276158,0.0010147825199787,3.3099666620238,418,CLN,PRT,Two-hours postprandial blood glucose (mmol/L),SERPINA3,0.0146174008150782
PBG,MP0009,0.26668423511711,3.32711447851662e-08,5.63012219024891,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),2-Hydroxybutyric acid,1.36013377097106e-06
PBG,MP0012,0.16119289097979,0.0009688776216077,3.32324851622423,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),3-Hydroxybutyric acid,0.0140608364835824
PBG,MP0025,0.142983546168452,0.0034716784726511,2.93948782127729,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Alpha-Linolenic acid,0.0396777540557604
PBG,MP0027,0.169191344917936,0.0005293013769521,3.4928908238182,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Arachidonic acid,0.0084180671046772
PBG,MP0041,0.164829699686488,0.000738491009356,3.40029736821733,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),D-Fructose,0.0111639070554993
PBG,MP0042,0.191879559611715,8.20026588547428e-05,3.97809043439751,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),D-Gluconolactone,0.0017077145637732
PBG,MP0043,0.446599219200792,8.71927133712006e-22,10.1560336945146,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),D-Glucose,9.50523382384637e-20
PBG,MP0047,0.152204100314819,0.0018508131625275,3.13340230641982,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Decanoic acid,0.0241437537269048
PBG,MP0051,0.244376191000115,4.51093152093441e-07,5.12779197727296,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),DHA,1.52243938831536e-05
PBG,MP0052,0.146027279562982,0.00283170094482,3.00341045681565,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),DPAn-6,0.033989122273136
PBG,MP0053,0.166054073255983,0.0006731271737703,3.42626865107673,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),DPA,0.0103168402474899
PBG,MP0080,0.143197474338691,0.0034227393288961,2.94397780526657,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Isocitric acid,0.0392668019846678
PBG,MP0088,-0.185658491163593,0.0001398279111128,-3.84442942897468,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Glutamine,0.0027215457636555
PBG,MP0093,0.182520143837698,0.0001818496795246,3.77718424229804,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),L-Leucine,0.0034246144027276
PBG,MP0105,0.179511292035366,0.0002330077339316,3.71282592277242,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Linoelaidic acid,0.0042434820250133
PBG,MP0106,0.180257093366916,0.0002192021078979,3.72876824243716,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Linoleic acid,0.0040363782279062
PBG,MP0115,0.150210358635184,0.0021267912140994,3.09140353995534,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Myristic acid,0.0268539674413258
PBG,MP0124,0.165552738689222,0.0006992148171051,3.4156324328719,418,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Oleic acid,0.0106744037167534
PBG,ML017,0.176292087152897,0.0004772126197216,3.52325514838789,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),NAGII,0.0077231229700657
PBG,MS008,0.146782920747878,0.0037146861456854,2.91917834984552,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Lactate,0.0417093869936251
PBG,MS016,0.187826141542613,0.0001946958912105,3.76192884390412,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),Acetoacetate,0.0036341146253279
PBG,MS018,0.192627274154001,0.0001319241638036,3.86174733857429,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),N-acetylated glycoproteins,0.0025915377578897
PBG,MS021,0.202968971367111,5.52242205744018e-05,4.07774727353496,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),L-Lysine,0.0012097230205071
PBG,MS025,0.162536187490784,0.0012962241050985,3.24055417171755,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),3-Hydroxybutytrate,0.0178096590061475
PBG,MS026,0.204599151612494,4.79447964529312e-05,4.11192334254667,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),L-Valine,0.0010714900612483
PBG,MS027,0.216610042401689,1.63444183427808e-05,4.36485048072573,391,CLN,MTB,Two-hours postprandial blood glucose (mmol/L),L-Isoleucine,0.0004046027653724
FINS,HOMA.B,0.465657563076735,7.87164320655967e-27,11.4196034864344,475,CLN,CLN,Fasting insulin (mU/L),HOMA-B,1.06888628804863e-24
FINS,UMACRR,0.171633954110598,0.0001680733551546,3.7930211084573,478,CLN,CLN,Fasting insulin (mU/L),Urine microalbumin creatinine ratio (mg/mmol),0.0031989043497469
FINS,TG,0.164921563859377,0.0003066002342179,3.63660421523766,477,CLN,CLN,Fasting insulin (mU/L),Triacylglycerol (mmol/L),0.0053373169500663
FINS,WBC,0.158938532868805,0.0005506235739103,3.47891301924214,471,CLN,CLN,Fasting insulin (mU/L),Leukocyte count (109/L),0.0086622489066391
FINS,RBC,0.221240552019804,1.30771483274316e-06,4.90253723634608,471,CLN,CLN,Fasting insulin (mU/L),Erythrocyte count (1012/L),4.07585750554311e-05
FINS,HB,0.214743361195203,2.69201142347758e-06,4.75149319112935,471,CLN,CLN,Fasting insulin (mU/L),Hemoglobin (g/L),7.84297431030732e-05
FINS,HOMA.IR,0.899484418210396,1.8016408584801e-171,44.6755116501273,475,CLN,CLN,Fasting insulin (mU/L),HOMA-IR,8.36682014678158e-168
FINS,C8G,0.146050077730756,0.0027941603181638,3.00751527422802,419,CLN,PRT,Fasting insulin (mU/L),C8G,0.033616788905577
FINS,CRP,0.211551654890452,0.0009053557156573,3.36021725585053,245,CLN,PRT,Fasting insulin (mU/L),CRP,0.0133072489246964
FINS,GMPS,0.203897488362323,0.0019268001571244,3.13794663435317,231,CLN,PRT,Fasting insulin (mU/L),GMPS,0.0248557220269058
FINS,PRG4,0.224671744130246,3.59493144674828e-06,4.69699232359717,419,CLN,PRT,Fasting insulin (mU/L),PRG4,0.0001013037720794
FINS,MP0009,0.183195924752562,0.0001688171285848,3.79623051884447,419,CLN,MTB,Fasting insulin (mU/L),2-Hydroxybutyric acid,0.0032078017395582
FINS,MP0015,0.149210007457315,0.0022511529535711,3.07405132569965,419,CLN,MTB,Fasting insulin (mU/L),3-Methyl-2-oxovaleric acid,0.0281031030010331
FINS,MP0024,0.140591942712317,0.0040191915974504,2.89280806941946,419,CLN,MTB,Fasting insulin (mU/L),Alpha-Ketoisovaleric acid,0.0441673586809269
FINS,MP0043,0.340501630894345,8.86642967891516e-13,7.37738941796989,419,CLN,MTB,Fasting insulin (mU/L),D-Glucose,5.95024558220838e-11
FINS,MP0051,0.168101317306253,0.000566886676726,3.47391901602199,419,CLN,MTB,Fasting insulin (mU/L),DHA,0.0088879869234161
FINS,MP0082,0.151842842008185,0.0018742979255715,3.12956223473893,419,CLN,MTB,Fasting insulin (mU/L),Ketoleucine,0.024327108905406
FINS,MP0086,0.155001454991175,0.0014987415147133,3.1962487928627,419,CLN,MTB,Fasting insulin (mU/L),L-Aspartic acid,0.0201044355699851
FINS,MP0087,0.169236267981924,0.0005193070606352,3.49806266021772,419,CLN,MTB,Fasting insulin (mU/L),L-Glutamate,0.0082818062829335
FINS,MP0093,0.196252875835812,5.46321015423889e-05,4.07726429849785,419,CLN,MTB,Fasting insulin (mU/L),L-Leucine,0.0012001489099472
FINS,MP0099,-0.177260045098273,0.0002750466559213,-3.66916639402375,419,CLN,MTB,Fasting insulin (mU/L),L-Serine,0.0048976866184768
FINS,MP0128,0.140978932224419,0.003918494729021,2.90093197479273,419,CLN,MTB,Fasting insulin (mU/L),Oxoglutaric acid,0.0434100417976472
FINS,MP0135,0.191189865782913,8.53748305580376e-05,3.96803166877822,419,CLN,MTB,Fasting insulin (mU/L),Pyroglutamic acid,0.0017747569969182
FINS,MS008,0.166146507358257,0.0010044904368989,3.3145552657289,391,CLN,MTB,Fasting insulin (mU/L),Lactate,0.0145141679805816
